item_key,product_name,component,norm_name,matched,match_method,match_score,item_code,sprav_name,weight
28,"Хлеб и булочные изделия из пшеничной муки различных сортов, кг",food,хлеб и булочные изделия из пшеничной муки различных сортов,True,exact,1.0,1054,"Хлеб и булочные изделия из пшеничной муки различных сортов, кг",0.00735
29,"Рис шлифованный, кг",food,рис шлифованный,True,exact,1.0,552,"Рис шлифованный, кг",0.00479
3,"Баранина (кроме бескостного мяса), кг",food,баранина,True,exact,1.0,122,"Баранина (кроме бескостного мяса), кг",0.00651
30,"Пшено, кг",food,пшено,True,exact,1.0,539,"Пшено, кг",0.00118
31,"Крупа гречневая-ядрица, кг",food,крупа гречневая ядрица,True,exact,1.0,320,"Крупа гречневая-ядрица, кг",0.00337
32,"Вермишель, кг",food,вермишель,True,exact,1.0,158,"Вермишель, кг",0.00142
33,"Макаронные изделия из пшеничной муки высшего сорта, кг",food,макаронные изделия из пшеничной муки высшего сорта,True,exact,1.0,354,"Макаронные изделия из пшеничной муки высшего сорта, кг",0.00382
34,"Картофель, кг",food,картофель,True,exact,1.0,252,"Картофель, кг",0.00612
35,"Капуста белокочанная свежая, кг",food,капуста белокочанная свежая,True,exact,1.0,249,"Капуста белокочанная свежая, кг",0.00236
36,"Лук репчатый, кг",food,лук репчатый,True,exact,1.0,349,"Лук репчатый, кг",0.00236
37,"Свёкла столовая, кг",food,свекла столовая,True,exact,1.0,574,"Свёкла столовая, кг",0.00077
38,"Морковь, кг",food,морковь,True,exact,1.0,382,"Морковь, кг",0.0021
39,"Огурцы свежие, кг",food,огурцы свежие,True,exact,1.0,435,"Огурцы свежие, кг",0.00468
4,"Куры охлажденные и мороженые, кг",food,куры охлажденные и мороженые,True,exact,1.0,333,"Куры охлажденные и мороженые, кг",0.00958
40,"Помидоры свежие, кг",food,помидоры свежие,True,exact,1.0,506,"Помидоры свежие, кг",0.00574
41,"Яблоки, кг",food,яблоки,True,exact,1.0,753,"Яблоки, кг",0.00515
42,"Бананы, кг",food,бананы,True,exact,1.0,121,"Бананы, кг",0.00418
43,"Водка, л",food,водка,True,exact,1.0,171,"Водка, л",0.0033
44,"Обед в столовой, кафе, закусочной (кроме столовой в организации), на 1 человека",food,обед в столовой кафе закусочной на 1 человека,True,exact,1.0,413,"Обед в столовой, кафе, закусочной (кроме столовой в организации), на 1 человека",0.00697
45,"Брюки для детей школьного возраста из джинсовой ткани, шт.",nonfood,брюки для детей школьного возраста из джинсовой ткани,True,exact,1.0,141,"Брюки для детей школьного возраста из джинсовой ткани, шт.",0.00098
46,"Пеленки для новорожденных, шт.",nonfood,пеленки для новорожденных,True,exact,1.0,458,"Пеленки для новорожденных, шт.",0.00019
47,"Костюм спортивный для детей школьного возраста, шт.",nonfood,костюм спортивный для детей школьного возраста,True,exact,1.0,306,"Костюм спортивный для детей школьного возраста, шт.",0.00141
48,"Майка, футболка мужская бельевая, шт.",nonfood,майка футболка мужская бельевая,True,exact,1.0,351,"Майка, футболка мужская бельевая, шт.",0.00151
49,"Футболка детская, шт.",nonfood,футболка детская,True,exact,1.0,703,"Футболка детская, шт.",0.00049
5,"Сосиски, сардельки, кг",food,сосиски сардельки,True,exact,1.0,599,"Сосиски, сардельки, кг",0.00553
50,"Носки мужские, пара",nonfood,носки мужские,True,exact,1.0,410,"Носки мужские, пара",0.00108
