Code,Name,Component,Weight,Best_Approach,Best_MAE,Baseline_MAE,Improvement,MAE_baseline,MAE_usd,MAE_brent,MAE_monetary,MAE_seasonal,MAE_tariff,MAE_all
26,Мясопродукты,Продовольственн,9.904,seasonal,0.7188623098765059,0.7289390567084217,1.3823853639312642,0.7289390567084217,0.7909448240993087,0.8491185051063339,0.8403761534190579,0.7188623098765059,0.7692573307705339,0.936588654590237
27,"Обувь кожаная, текстильная и комбинирова",Непродовольстве,2.815,usd,0.6898947370661765,0.7018895009411552,1.7089248177804384,0.7018895009411552,0.6898947370661765,0.8690814057724827,0.738817511341378,0.7013439875388926,0.7125075771910093,0.8716059582589448
28,Общественное питание,Продовольственн,1.583,seasonal,0.4230742503519196,0.4485192556536981,5.673113245649505,0.4485192556536981,0.498259532364318,0.762706252966902,0.6480408717644678,0.4230742503519196,0.4500524817867824,1.8633288152882155
29,Одежда и белье,Непродовольстве,6.473,seasonal,0.3344762718685532,0.3361757669827919,0.505537662482871,0.3361757669827919,0.34793981134232654,0.43094964125427415,0.34895644860320213,0.3344762718685532,0.3456657769731995,0.4189669650227512
30,Парфюмерно-косметические товары,Непродовольстве,1.984,seasonal,0.9224564483158052,0.9497598117671552,2.8747650840846193,0.9497598117671552,0.9540622677435747,1.6651090739722312,1.5743414910021685,0.9224564483158052,1.2310242501055084,1.889305318217142
31,Персональные компьютеры,Непродовольстве,0.486,monetary,2.3397290109063738,2.7437215065010228,14.724252976747895,2.7437215065010228,2.7164456725964907,3.656506455389171,2.3397290109063738,2.6982944815613887,2.7275891096656535,4.943391067353907
32,Печатные издания,Непродовольстве,0.11299999999999999,baseline,0.3963531948952764,0.3963531948952764,0.0,0.3963531948952764,0.40466189897743676,0.5433654926366502,0.5050636971137232,0.39794818397603654,0.4103767350333117,0.6213155994649131
33,"Плодоовощная продукция, включая картофел",Продовольственн,5.888,baseline,3.6789027815639717,3.6789027815639717,0.0,3.6789027815639717,3.9225425638063225,3.9215410445865455,4.2296617058403925,3.8386597572158525,3.8409107919783008,4.674231508790058
34,Рыбопродукты,Продовольственн,2.26,brent,0.5040416658250682,0.5381778646648023,6.342921379903929,0.5381778646648023,0.5647267343110394,0.5040416658250682,0.6832061652507547,0.5389247001556604,0.5267015806800416,0.7631570046572209
35,Санаторно-оздоровительные услуги,Услуги,0.243,seasonal,2.2716593716841076,2.2811445035221203,0.41580583007203237,2.2811445035221203,2.510456466633707,2.8877579017168356,2.8696182629119846,2.2716593716841076,2.402606584445731,4.7228825331754045
