Code,Name,Weight,Best_Model,Best_MAE,Voting_MAE,Improvement,MAE_voting,MAE_ridge,MAE_ngboost,MAE_prophet
23,Меха и меховые изделия,0.12,voting,0.5903910323926388,0.5903910323926388,0.0,0.5903910323926388,0.6060583976333473,0.6803888243770317,0.6788918546265122
24,Молоко и молочная продукция,3.0509999999999997,ridge,1.2303504350145844,1.2642302698279475,2.6798784700807627,1.2642302698279475,1.2303504350145844,1.3991473783464907,1.2960460460066396
25,Моющие и чистящие средства,1.123,ridge,2.590000156310956,2.781718303259833,6.89207626538628,2.781718303259833,2.590000156310956,2.9709602731097022,2.777437572639818
26,Мясопродукты,9.904,ridge,0.7756155329884005,0.7906933545391881,1.906911379010502,0.7906933545391881,0.7756155329884005,0.8212808223786803,0.9325964596305829
27,"Обувь кожаная, текстильная и к",2.815,ridge,0.7033854276584595,0.7079131697907435,0.6395900409117127,0.7079131697907435,0.7033854276584595,0.8863259442899324,0.7853861401108923
28,Общественное питание,1.583,ridge,0.704287818802818,0.7168458527228929,1.7518457939561267,0.7168458527228929,0.704287818802818,0.8741091732843411,0.9215004496194009
29,Одежда и белье,6.473,ridge,0.42849519823799864,0.4355772489706077,1.6259000554656895,0.4355772489706077,0.42849519823799864,0.492764804681512,0.4413524207469228
30,Парфюмерно-косметические товар,1.984,ridge,1.5934575597893759,1.6538198729543416,3.649872283680814,1.6538198729543416,1.5934575597893759,1.6418618252380797,1.920485591433971
31,Персональные компьютеры,0.486,prophet,2.7631379836008843,3.32039970949102,16.782971167515175,3.32039970949102,3.009860605478175,4.7191776380424955,2.7631379836008843
32,Печатные издания,0.11299999999999999,ridge,0.4236105003679763,0.43627715767818065,2.90335102062526,0.43627715767818065,0.4236105003679763,0.49846253891345116,0.5787675670947574
33,"Плодоовощная продукция, включа",5.888,ngboost,3.6402459968122414,3.7905415129388933,3.9650143815500494,3.7905415129388933,3.801828217401858,3.6402459968122414,4.086661497367276
34,Рыбопродукты,2.26,voting,0.6686364826106543,0.6686364826106543,0.0,0.6686364826106543,0.6792684816598012,0.7056126447734542,0.856556313651972
35,Санаторно-оздоровительные услу,0.243,voting,1.9321839276822093,1.9321839276822093,0.0,1.9321839276822093,1.9511042153529021,2.125612773748379,2.1657588603629896
36,Сахар,0.575,ridge,3.116310316854988,3.1297492998206096,0.42939487090521655,3.1297492998206096,3.116310316854988,3.8167488866138597,4.333426086831429
37,Средства связи,0.9079999999999999,ridge,3.020752181956687,3.1510922408789495,4.136345398949862,3.1510922408789495,3.020752181956687,3.1847279154783883,3.0872306227675104
38,Строительные материалы,1.48,ridge,0.6044285377494126,0.6158161624875836,1.8491922479219782,0.6158161624875836,0.6044285377494126,1.0054982014649845,0.7132156765789665
39,Сыр,1.374,ridge,1.2013743481921682,1.2273726343590037,2.1182064386186314,1.2273726343590037,1.2013743481921682,1.3731155734002856,1.3534305151031627
40,Табачные изделия,0.859,voting,0.6789699249719243,0.6789699249719243,0.0,0.6789699249719243,0.6838157079504577,0.896907025695312,0.7007840408216396
41,Телерадиотовары,0.251,ngboost,3.624663944942745,3.8166665620775717,5.0306363946635075,3.8166665620775717,3.63770450469021,3.624663944942745,3.7081619624007325
42,Топливо моторное,3.302,voting,0.9776320528710635,0.9776320528710635,0.0,0.9776320528710635,0.9880588019633532,1.113535914971234,1.1075830439371988
43,Трикотажные изделия,1.601,prophet,0.5443298617300054,0.5807486665092397,6.271009625926517,0.5807486665092397,0.574232920512616,0.6218108724535272,0.5443298617300054
44,Услуги в системе образования,1.306,prophet,0.4387723980549841,0.4579985199731141,4.197856778938638,0.4579985199731141,0.4421124922317663,0.4755317062937555,0.4387723980549841
46,Услуги организаций культуры,0.074,voting,1.0959582551826126,1.0959582551826126,0.0,1.0959582551826126,1.096981883199303,1.2779662880840033,1.29907875068564
47,Услуги пассажирского транспорт,2.242,ridge,2.4784996210185986,2.502140448488501,0.9448241598181776,2.502140448488501,2.4784996210185986,2.7569702799449,3.214436477785479
48,Услуги телекоммуникационные,3.021,voting,0.9200029557521207,0.9200029557521207,0.0,0.9200029557521207,0.9242635293261927,1.0648004973470182,1.1953466345546047
49,Хлеб и хлебобулочные изделия,1.3599999999999999,ridge,1.107579844120496,1.126776402392652,1.703670597945887,1.126776402392652,1.107579844120496,1.53218828258399,1.2183801841265285
50,"Чай, кофе, какао",1.517,prophet,2.017143769039855,2.2829309997187077,11.642368109750228,2.2829309997187077,2.0813533483949396,2.4962672204679714,2.017143769039855
51,Электротовары и другие бытовые,1.5939999999999999,ridge,2.3014847361839115,2.664830941271413,13.634868893939894,2.664830941271413,2.3014847361839115,3.0871492229686055,2.371176505292716
52,Яйца,0.61,prophet,6.336065929923014,6.7629072714127645,6.311506639962905,6.7629072714127645,6.72592942137211,6.969143678869672,6.336065929923014
53,Другие продовольственные товар,3.665,ridge,1.165119690965442,1.2127068703447772,3.9240463250452264,1.2127068703447772,1.165119690965442,1.4557983590003747,1.2805701521119182
54,Другие непродовольственные тов,4.447,voting,0.6913837624315982,0.6913837624315982,0.0,0.6913837624315982,0.7014198512875346,0.9028271099176723,0.7897677294309658
55,Другие услуги,2.086,ridge,1.8978462309761812,1.9148028631145724,0.8855549814047128,1.9148028631145724,1.8978462309761812,2.6075225342272503,2.0409956792785495
67,Услуги в сфере зарубежного тур,0.17600000000000002,prophet,8.595881648959892,9.236941187962502,6.94017127485918,9.236941187962502,9.066617836034032,10.109549017807037,8.595881648959892
