Horizon,Model,FeatureSet,MAE,KPI_Hits,Total,N_Features
h=2,RF,Federal_macro,0.6711196839165158,25,45,10
h=2,RF,IBVED_q,0.5945738282304855,28,45,4
h=2,RF,Regional,0.7062762650213977,26,45,9
h=2,RF,Best_combined,0.626803737594288,25,45,10
h=2,GradBoost,AR_minimal,0.6114231552099779,25,45,5
h=2,GradBoost,AR_extended,0.5854080778091796,27,45,12
h=2,GradBoost,Components,0.5553520042626322,30,45,10
h=2,GradBoost,Federal_macro,0.6977626384651946,23,45,10
h=2,GradBoost,IBVED_q,0.5712217163386012,28,45,4
h=2,GradBoost,Regional,0.702509260524089,26,45,9
h=2,GradBoost,Best_combined,0.7212793556017636,23,45,10
h=2,XGBoost,AR_minimal,0.645512315538193,23,45,5
h=2,XGBoost,AR_extended,0.6250414699978282,25,45,12
h=2,XGBoost,Components,0.5746061469184016,29,45,10
h=2,XGBoost,Federal_macro,0.6866961398654509,24,45,10
h=2,XGBoost,IBVED_q,0.6094017062717001,24,45,4
h=2,XGBoost,Regional,0.6790601535373254,27,45,9
h=2,XGBoost,Best_combined,0.7132499728732639,22,45,10
h=2,LightGBM,AR_minimal,0.6027001936836481,26,45,5
h=2,LightGBM,AR_extended,0.5803654662910983,26,45,12
h=2,LightGBM,Components,0.607107366310041,23,45,10
h=2,LightGBM,Federal_macro,0.6086321801537136,23,45,10
h=2,LightGBM,IBVED_q,0.5815799818085421,28,45,4
h=2,LightGBM,Regional,0.6129672224865582,29,45,9
h=2,LightGBM,Best_combined,0.6549726660986706,20,45,10
h=2,CatBoost,AR_minimal,0.568595891449576,28,45,5
h=2,CatBoost,AR_extended,0.6029257711760645,24,45,12
h=2,CatBoost,Components,0.5575729082771697,31,45,10
h=2,CatBoost,Federal_macro,0.6519637947240701,25,45,10
h=2,CatBoost,IBVED_q,0.5714424797712269,27,45,4
h=2,CatBoost,Regional,0.6639978743299205,26,45,9
h=2,CatBoost,Best_combined,0.6440926796902595,26,45,10
h=2,NGBoost,AR_minimal,0.5492363177833043,31,45,5
h=2,NGBoost,AR_extended,0.5335211471857956,30,45,12
h=2,NGBoost,Components,0.5447668500664936,31,45,10
h=2,NGBoost,Federal_macro,0.6040608861063806,28,45,10
h=2,NGBoost,IBVED_q,0.5481681482268694,33,45,4
h=2,NGBoost,Regional,0.692801995187291,26,45,9
h=2,NGBoost,Best_combined,0.6177871322121269,28,45,10
h=12,Ridge,AR_minimal,0.3931382098888321,26,35,5
h=12,Ridge,AR_extended,0.4096026184921377,26,35,12
h=12,Ridge,Components,0.4024465063422826,25,35,10
h=12,Ridge,Federal_macro,0.44963495650329843,25,35,10
h=12,Ridge,IBVED_q,0.4020294337971295,25,35,4
h=12,Ridge,Regional,0.5434658909287903,19,35,9
h=12,Ridge,Best_combined,0.40264353436045486,27,35,10
h=12,Ridge_10,AR_minimal,0.38677026027661077,26,35,5
h=12,Ridge_10,AR_extended,0.40474720317377344,27,35,12
h=12,Ridge_10,Components,0.3960103005765445,25,35,10
h=12,Ridge_10,Federal_macro,0.4315862633226008,27,35,10
h=12,Ridge_10,IBVED_q,0.39391415932397456,26,35,4
h=12,Ridge_10,Regional,0.47622241077207467,21,35,9
h=12,Ridge_10,Best_combined,0.39764595653239576,27,35,10
h=12,Ridge_100,AR_minimal,0.35641870523060676,27,35,5
h=12,Ridge_100,AR_extended,0.38881008646123405,25,35,12
h=12,Ridge_100,Components,0.3642023263633807,25,35,10
h=12,Ridge_100,Federal_macro,0.36958727721180284,28,35,10
h=12,Ridge_100,IBVED_q,0.35783670082658714,27,35,4
h=12,Ridge_100,Regional,0.4132809456651659,25,35,9
h=12,Ridge_100,Best_combined,0.366565617605372,26,35,10
h=12,Lasso,AR_minimal,0.361208468679277,26,35,5
h=12,Lasso,AR_extended,0.3661042861026825,25,35,12
h=12,Lasso,Components,0.3619476132316265,26,35,10
h=12,Lasso,Federal_macro,0.3773874898691373,26,35,10
h=12,Lasso,IBVED_q,0.36194761321031915,26,35,4
h=12,Lasso,Regional,0.401455790208515,26,35,9
h=12,Lasso,Best_combined,0.3670879084121038,25,35,10
h=12,ElasticNet,AR_minimal,0.36543399223127276,27,35,5
h=12,ElasticNet,AR_extended,0.3780952291695769,26,35,12
h=12,ElasticNet,Components,0.3718533807853459,26,35,10
h=12,ElasticNet,Federal_macro,0.3939509595966923,28,35,10
h=12,ElasticNet,IBVED_q,0.36638124385215465,26,35,4
h=12,ElasticNet,Regional,0.4091764457419483,24,35,9
h=12,ElasticNet,Best_combined,0.3706399318016638,26,35,10
h=12,Huber,AR_minimal,0.37024871835732337,28,35,5
h=12,Huber,AR_extended,0.386364615546948,25,35,12
h=12,Huber,Components,0.351430717899927,25,35,10
h=12,Huber,Federal_macro,0.4017395029791288,27,35,10
h=12,Huber,IBVED_q,0.37431999136322575,26,35,4
h=12,Huber,Regional,0.41455863021949224,24,35,9
h=12,Huber,Best_combined,0.37904353532487267,26,35,10
h=12,BayesianRidge,AR_minimal,0.3798835556466811,25,35,5
h=12,BayesianRidge,AR_extended,0.3961797025932985,26,35,12
h=12,BayesianRidge,Components,0.3774278588449809,24,35,10
h=12,BayesianRidge,Federal_macro,0.4019840753603729,28,35,10
h=12,BayesianRidge,IBVED_q,0.3889617927356296,25,35,4
h=12,BayesianRidge,Regional,0.438559197275511,24,35,9
h=12,BayesianRidge,Best_combined,0.37941411086006593,26,35,10
h=12,RF,AR_minimal,0.47052811129080274,21,35,5
h=12,RF,AR_extended,0.39551178413454,24,35,12
h=12,RF,Components,0.4633510911425146,21,35,10
h=12,RF,Federal_macro,0.391862670478905,22,35,10
h=12,RF,IBVED_q,0.4679563210385189,19,35,4
