Horizon,Model,FeatureSet,MAE,KPI_Hits,Total,N_Features
h=2,Huber,Components_IBVED,0.5547884176603648,29,45,7
h=2,Huber,Rates,0.6560095314254798,28,45,11
h=2,Huber,USD_focus,0.5566258735682775,30,45,9
h=2,Huber,Brent_focus,0.6054818454624975,17,24,9
h=2,Huber,Components_Rates,0.6056362810010638,30,45,9
h=2,Huber,Full_macro,0.6908661742075111,21,39,11
h=2,Huber,Minimal_plus,0.5641641285861899,29,45,6
h=2,Huber,AR_volatility,0.5751735435067521,27,45,9
h=2,Huber,Production,0.5556424517886067,30,45,10
h=2,Huber,Services,0.5503531068870189,28,45,10
h=2,Huber,Ultimate,0.5676475296767519,27,45,9
h=2,Ridge_100,Components,0.5608238657843837,29,45,10
h=2,Ridge_100,Components_momentum,0.5655008481887462,29,45,14
h=2,Ridge_100,AR_full,0.5684476872308857,27,45,14
h=2,Ridge_100,IBVED_focus,0.5403010208145598,31,45,4
h=2,Ridge_100,Components_IBVED,0.547755623005153,32,45,7
h=2,Ridge_100,Rates,0.6207822794772457,29,45,11
h=2,Ridge_100,USD_focus,0.538200409264164,31,45,9
h=2,Ridge_100,Brent_focus,0.5498440022703228,16,24,9
h=2,Ridge_100,Components_Rates,0.6045753799519644,30,45,9
h=2,Ridge_100,Full_macro,0.6972199498357489,24,39,11
h=2,Ridge_100,Minimal_plus,0.5561477681940283,28,45,6
h=2,Ridge_100,AR_volatility,0.5642980862918614,28,45,9
h=2,Ridge_100,Production,0.5633033711127919,30,45,10
h=2,Ridge_100,Services,0.5423326949037472,30,45,10
h=2,Ridge_100,Ultimate,0.5696460765359499,26,45,9
h=2,NGBoost,Components,0.5450302443047895,31,45,10
h=2,NGBoost,Components_momentum,0.5414708865857076,31,45,14
h=2,NGBoost,AR_full,0.5356051738594699,31,45,14
h=2,NGBoost,IBVED_focus,0.5485199604414394,33,45,4
h=2,NGBoost,Components_IBVED,0.5319860344017775,33,45,7
h=2,NGBoost,Rates,0.6166196841504359,27,45,11
h=2,NGBoost,USD_focus,0.6073457712428384,28,45,9
h=2,NGBoost,Brent_focus,0.5122683244974565,18,24,9
h=2,NGBoost,Components_Rates,0.6085099066401518,28,45,9
h=2,NGBoost,Full_macro,0.6840057844755066,24,39,11
h=2,NGBoost,Minimal_plus,0.5409412167826941,31,45,6
h=2,NGBoost,AR_volatility,0.5432630312803692,31,45,9
h=2,NGBoost,Production,0.5574497695981857,28,45,10
h=2,NGBoost,Services,0.5461296047009357,31,45,10
h=2,NGBoost,Ultimate,0.5526222787457413,30,45,9
h=2,Stacking,Components,0.5535823414762421,28,45,10
h=2,Stacking,Components_momentum,0.5535096075221058,29,45,14
