horizon,model,baseline,target_month,N_pair,N_planned,candidate_error,baseline_error,absolute_loss_difference
1,Ridge,SeasonalNaive,2025-09-01,24,24,-0.6003137435213262,-0.37999999999999545,0.2203137435213307
1,Ridge,SeasonalNaive,2025-10-01,24,24,0.04846178145515978,0.4899999999999949,-0.4415382185448351
1,Ridge,SeasonalNaive,2025-11-01,24,24,0.3338499551578451,1.3499999999999943,-1.0161500448421492
1,Ridge,SeasonalNaive,2025-12-01,24,24,0.023697158586131195,0.6199999999999903,-0.5963028414138591
1,Ridge,SeasonalNaive,2026-01-01,24,24,-0.6078550696468028,-0.7299999999999898,-0.12214493035318696
1,Ridge,SeasonalNaive,2026-02-01,24,24,-0.24945962948905276,0.2400000000000091,0.009459629489043664
1,Ridge,SeasonalNaive,2026-03-01,24,24,0.17563996131009674,0.269999999999996,-0.09436003868989928
1,Ridge,SeasonalNaive,2026-04-01,24,24,0.8227150608685179,0.8100000000000023,0.012715060868515593
1,Ridge,SeasonalNaive,2026-05-01,24,24,0.32505420858630885,-0.1599999999999966,0.16505420858631226
1,Ridge,SeasonalNaive,2026-06-01,24,24,-1.0294909707675828,-1.1000000000000085,-0.07050902923242575
1,Ridge,SeasonalNaive,2026-07-01,24,24,0.1461776044591545,-0.45999999999999375,-0.31382239554083924
1,Ridge,Micro,2024-08-01,24,24,0.010534832337924627,0.18583689421154603,-0.1753020618736214
1,Ridge,Micro,2024-09-01,24,24,-0.12814750158511856,-0.28354040110563306,-0.1553928995205145
1,Ridge,Micro,2024-10-01,24,24,-0.45742628597942314,-0.4475691896953107,0.009857096284112465
1,Ridge,Micro,2024-11-01,24,24,-0.892461594689749,-0.799222355727434,0.0932392389623149
1,Ridge,Micro,2024-12-01,24,24,0.4314984125563228,-0.16244744065736394,0.2690509718989589
1,Ridge,Micro,2025-01-01,24,24,0.17694589296706908,-0.06655494198363343,0.11039095098343565
1,Ridge,Micro,2025-02-01,24,24,-0.8042696424575126,-0.6314981506068399,0.17277149185067275
1,Ridge,Micro,2025-03-01,24,24,-0.14865028948442216,-0.053570351575272346,0.09507993790914981
1,Ridge,Micro,2025-04-01,24,24,0.36912572904506646,0.08528632437420214,0.2838394046708643
1,Ridge,Micro,2025-05-01,24,24,0.5469797017547222,0.6463432371809437,-0.09936353542622145
1,Ridge,Micro,2025-06-01,24,24,0.055009854317333406,0.40109261263964435,-0.34608275832231095
1,Ridge,Micro,2025-07-01,24,24,-0.4446481224601797,-0.023845867928731224,0.4208022545314485
1,Ridge,Micro,2025-08-01,24,24,0.39810021919093685,0.8722340620638094,-0.4741338428728725
1,Ridge,Micro,2025-09-01,24,24,-0.6003137435213262,-0.5479242417670475,0.0523895017542787
1,Ridge,Micro,2025-10-01,24,24,0.04846178145515978,0.22376651566661976,-0.17530473421145998
1,Ridge,Micro,2025-11-01,24,24,0.3338499551578451,0.5890425401434743,-0.25519258498562924
1,Ridge,Micro,2025-12-01,24,24,0.023697158586131195,0.4545153480200589,-0.4308181894339277
1,Ridge,Micro,2026-01-01,24,24,-0.6078550696468028,-0.7598814111532413,-0.15202634150643846
1,Ridge,Micro,2026-02-01,24,24,-0.24945962948905276,-0.2357492171756036,0.01371041231344916
1,Ridge,Micro,2026-03-01,24,24,0.17563996131009674,0.32856696468775803,-0.1529270033776613
1,Ridge,Micro,2026-04-01,24,24,0.8227150608685179,0.8933305633715384,-0.07061550250302051
1,Ridge,Micro,2026-05-01,24,24,0.32505420858630885,0.31352201176172617,0.011532196824582674
1,Ridge,Micro,2026-06-01,24,24,-1.0294909707675828,-0.6545162688759948,0.374974701891588
1,Ridge,Micro,2026-07-01,24,24,0.1461776044591545,-0.1887363742085203,-0.04255876974936579
1,Ridge,GroupsFixed,2024-08-01,24,24,0.010534832337924627,0.23362743026989724,-0.2230925979319726
1,Ridge,GroupsFixed,2024-09-01,24,24,-0.12814750158511856,-0.43845958090250287,-0.3103120793173843
1,Ridge,GroupsFixed,2024-10-01,24,24,-0.45742628597942314,-0.48874849678157073,-0.03132221080214759
1,Ridge,GroupsFixed,2024-11-01,24,24,-0.892461594689749,-0.843215477434377,0.04924611725537198
1,Ridge,GroupsFixed,2024-12-01,24,24,0.4314984125563228,-0.15904477323393518,0.27245363932238764
1,Ridge,GroupsFixed,2025-01-01,24,24,0.17694589296706908,-0.08282154963843258,0.0941243433286365
1,Ridge,GroupsFixed,2025-02-01,24,24,-0.8042696424575126,-0.6744787913484572,0.12979085110905542
1,Ridge,GroupsFixed,2025-03-01,24,24,-0.14865028948442216,-0.11452804901947,0.03412224046495216
1,Ridge,GroupsFixed,2025-04-01,24,24,0.36912572904506646,0.026216845803819,0.34290888324124746
1,Ridge,GroupsFixed,2025-05-01,24,24,0.5469797017547222,0.501310731392328,0.04566897036239426
1,Ridge,GroupsFixed,2025-06-01,24,24,0.055009854317333406,0.3110265619813182,-0.25601670766398477
1,Ridge,GroupsFixed,2025-07-01,24,24,-0.4446481224601797,-0.12726345387359983,0.3173846685865799
1,Ridge,GroupsFixed,2025-08-01,24,24,0.39810021919093685,0.7842150400304845,-0.3861148208395476
1,Ridge,GroupsFixed,2025-09-01,24,24,-0.6003137435213262,-0.7599730405593916,-0.15965929703806547
1,Ridge,GroupsFixed,2025-10-01,24,24,0.04846178145515978,0.1223745145122711,-0.07391273305711132
1,Ridge,GroupsFixed,2025-11-01,24,24,0.3338499551578451,0.5412472213145224,-0.2073972661566773
