Code,Name,Weight,Corr_Risk,Corr_Reversion
54,Другие непродовольственные товары,0.044866610169491505,0.07923913797244908,-0.11370268279787946
55,Другие услуги,0.01941389830508474,0.3595993695614683,0.09566276559299118
67,Услуги в сфере зарубежного туризма,0.0036138983050847447,0.0371557739649149,-0.24453083934911954
101,"Абонентская плата за доступ к сети Интернет, месяц",0.006608305084745764,-0.2654720737811022,-0.042260968283028263
103,"Абонентская плата за неограниченный объем местных телефонных соединений, месяц",0.0007835593220338985,-0.13129564074375544,-0.09948276733079182
104,"Абонентская плата за пакет услуг сотовой связи, месяц",0.009934893617021262,-0.21577257204943093,-0.0698957560143533
106,"Абонентская плата за телевизионную антенну, месяц",0.002015084745762712,0.13554962993427971,-0.0999233778191847
107,"Абонентская плата при комбинированной системе оплаты услуг местной телефонной связи, месяц",0.000587966101694895,-0.12828109976578764,-0.09924031240908643
108,Автомобильный транспорт,0.01513695652173913,0.1188815256156528,0.1405126778602382
109,"Авторучка шариковая, шт.",0.0007461016949152543,0.32790538514297884,0.1400935062249992
110,"Аллохол, 50 таблеток",0.000301111111111111,0.2892097206389284,-0.2878457180773938
111,"Алмагель, суспензия, 200 мл",0.0004166666666666667,0.09147313194798108,-0.6137133589572874
112,"Альбом для рисования, шт.",0.00038627118644067793,0.3321865204063772,0.24691230422396865
113,"Амброксол, 30 мг, 10 таблеток",0.00035525423728813554,0.0017140638517316932,0.21763828701762042
115,"Апельсины, кг",0.0045832203389830515,0.08304118104693463,0.1380650826722963
116,"Аппарат для измерения артериального давления электронный, шт.",0.0005354237288135595,0.13210805552788876,-0.3337934778624197
117,"Аренда двухкомнатной квартиры у частных лиц, месяц",0.0024415254237288146,0.035992830664537824,-0.005759585281106156
118,"Аренда индивидуального банковского сейфа, в расчете на месяц",0.0003613559322033897,0.0242660419996235,-0.03282735980287719
119,"Аренда однокомнатной квартиры у частных лиц, месяц",0.00193271186440678,0.16066290938471725,-0.05653130161904789
120,"Ацетилсалициловая кислота (Аспирин отечественный), 500 мг, 10 таблеток",0.000421186440677966,-0.2282964231332086,-0.035439710399566345
121,"Бананы, кг",0.004679322033898304,-0.24023628224047955,-0.04023350989560219
122,"Баранина (кроме бескостного мяса), кг",0.007020169491525414,-0.312305828406293,0.36412403674835603
123,"Бараночные изделия, кг",0.0011357627118644066,-0.21230130156180535,-0.5686514914875744
124,"Батарейки электрические типа АА, шт.",0.00028694915254237293,-0.010310098007288694,-0.2444038520809167
125,Белье для детей ясельного возраста,0.0017693220338983052,0.1619043536351499,0.4820016660058751
126,"Белье для новорожденных и детей ясельного возраста, шт.",0.00047627118644067795,-0.0561512721844665,0.16006917596709477
127,Белье постельное,0.006850169491525423,-0.008207103335835715,0.08975342829766589
128,Бельевой трикотаж,0.006865932203389834,-0.2168937991712467,0.37584641156085324
129,Бензин автомобильный,0.034898135593220324,0.06714089092563931,0.40742446682787187
130,"Бензин автомобильный марки АИ-92, л",0.015854406779661018,0.01375450736102079,0.37737075745891163
131,"Бензин автомобильный марки АИ-95, л",0.012625254237288126,0.08227654058797013,0.45484240749982113
132,"Бензин автомобильный марки АИ-98, л",0.008057234042553192,0.0949879407558719,0.20426268800252903
133,Беспроводная радиосвязь,0.014359661016949141,-0.21577257204943093,-0.0698957560143533
134,"Бинт, шт.",0.0001694915254237288,0.13820276429086148,-0.07282730220126502
135,"Бисопролол, 10 мг, 10 таблеток",0.0002910169491525423,-0.2828084785814953,-0.0879171658808981
136,"Блузка для девочек школьного возраста, шт.",0.0008986440677966099,-0.3791893534682123,-0.18024452488065387
137,"Блузка женская, шт.",0.002265423728813559,0.08979967582175996,-0.19489268862247033
138,"Ботинки, полуботинки для детей дошкольного возраста, пара",0.001234576271186441,0.15114925624325573,0.4826846906969235
139,"Ботинки, полуботинки для детей школьного возраста, пара",0.0014961016949152535,0.26775542428205135,0.22125888378341985
141,"Брюки для детей школьного возраста из джинсовой ткани, шт.",0.0015022033898305079,-0.04928739328745492,-0.06170254017995409
142,"Брюки для детей школьного возраста из полушерстяных тканей, шт.",0.0010937288135593214,-0.12332842727225594,0.33512402974536815
143,"Брюки женские из полушерстяных или смесовых тканей, шт.",0.0020777966101694924,0.02959638476645198,-0.16579144643180327
144,"Брюки мужские из джинсовой ткани (джинсы), шт.",0.003368474576271186,-0.2465193322780003,-0.1278282321783956
145,"Брюки мужские из полушерстяных или смесовых тканей, шт.",0.0020888135593220333,-0.2623569334121748,0.11222107816750193
146,"Булочные изделия сдобные из муки высшего сорта штучные, кг",0.0020579661016949156,-0.27608084801352306,-0.17103639088520275
147,"Бумага туалетная, рулон",0.0011559322033898307,-0.18216373377347586,-0.4484127236726342
148,Бумажно-беловые товары,0.0056428813559322045,0.20891150369076314,-0.07165152856999128
149,"Бюстгальтер, шт.",0.0016389830508474568,-0.1316151215447419,-0.15801953705891225
150,"Валидол, 60 мг, 10 таблеток",0.0004950847457627016,0.29375829868775893,-0.05350155712479754
152,"Варенье, джем, повидло, кг",0.000971186440677966,0.0012634952242954601,-0.1654699873169878
153,"Варенье, джем, повидло, мед",0.005386949152542372,0.02784032750688299,-0.13036029808097493
154,"Вата отечественная, 100 г",0.00030152542372881367,0.32008538674489084,-0.44377595872055886
155,"Велосипед для дошкольников, шт.",0.0009332203389830508,0.2414016747564454,-0.1951224496211628
156,"Велосипед дорожный для взрослых, шт.",0.0004647457627118645,0.12497175248650716,0.09088930942993952
157,Велосипеды и мотоциклы,0.001397966101694915,0.27901656355929927,-0.12596698735607997
158,"Вермишель, кг",0.0014044067796610171,-0.1746642138255977,-0.6884746151690027
160,"Верхний трикотаж, прочие изделия верхнего трикотажа",0.010944067796610167,0.13732076391347922,0.15011008046163837
161,Ветеринарные услуги,0.00042813559322033907,0.30474737197589724,-0.12370128125800588
162,"Взносы на капитальный ремонт, м2",0.009592830188679222,-0.07605456213594647,-0.09993124092351546
163,Вина виноградные,0.0033732203389830514,0.02064924042547251,-0.07247430080289845
