top_model,files_total,code_files,doc_files,data_files,bytes_total,extensions
nested:a3411331e3620,4,1,0,3,6284623,r;xlsx
nested:a4b19c2c5173d,4,1,0,2,224934,png;wf1;xlsx
nested:a5331c69b69ea,5,1,2,2,1181295,docx;ipynb;xlsx
nested:a5a958227346d,2,1,1,0,31028,docx;prg
nested:a76a485a2f47f,4,1,2,1,561054,docx;prg;xlsx
nested:a7a03de241c2a,2,1,1,0,17846,docx;prg
nested:a7d6b9f4ef455,3,1,1,1,52758,docx;prg;xlsx
nested:a8dceef0607a0,2,1,1,0,24204,docx;prg
nested:a9f2976b6e29a,8,1,1,5,4346753,db;docx;r;xlsx
nested:aa27c6e220bad,4,1,2,1,689136,docx;prg;xlsx
nested:aa2d4ae9d6285,4,1,1,2,4408588,csv;docx;ipynb
nested:aa972a9a24e63,4,1,2,1,1615282,docx;r;xlsx
nested:ab2b35c6e5c3c,3,1,1,1,275153,docx;prg;xlsx
nested:ab8b13e957e65,6,1,1,4,1604783,docx;r;rdata;xlsx
nested:ac2294d8a53ba,2,1,1,0,96256,docx;wf1
nested:acf08d95a9057,4,1,1,2,102960,csv;docx;r;xlsx
nested:ad0459a615c6b,3,1,1,1,922065,docx;prg;xlsx
nested:ad21529ad3a3e,2,1,1,0,16753,docx;r
nested:ae00677697d94,4,1,1,2,45553,docx;r;xlsx
nested:ae48cf0647a33,3,1,1,1,106784,docx;prg;xlsx
nested:ae5b6d9e0d30d,3,1,1,1,31052,docx;prg;xlsx
nested:af2c7a7ead313,3,1,1,1,45665,docx;ipynb;xlsx
nested:afa0cc7c1c88b,7,1,3,3,405982,docx;prg;txt;xlsx
nested:afb1f071e9cc6,2,1,0,1,200763,prg;xlsx
Модели для краткосрочного прогноза банковских ставок,3,1,1,1,51390,docx;r;xlsx
Модели для краткосрочного прогноза инфляции (без дезагрегации),4,1,2,1,70417,docx;r;txt;xlsx
Excel to Excel with transposition,1,0,0,0,12854,rar
FAR-модель,2,0,2,0,19622,docx;txt
GARCH метод с симуляциями прогноза,2,0,2,0,19988,docx;txt
VAR-РФ-Тюменская область,1,0,0,0,100849,rar
nested:a001a64c8bce0,1,0,0,1,0,xlsx
nested:a052ad2e3b326,3,0,2,1,62382,docx;txt;xlsx
nested:a146949a23725,3,0,2,1,100000,docx;txt;xlsx
nested:a17db49e525af,2,0,1,1,24296207,docx;xlsx
nested:a23a599c7693e,2,0,2,0,16997,docx;txt
nested:a24e90111dc4c,4,0,3,1,27069,docx;txt;xlsx
nested:a41cb833276e2,2,0,2,0,18068,docx;txt
nested:a463d9a57f556,36,0,0,5,34782728,xlsx;xml
nested:a51d4e14125b9,2,0,1,1,108553,docx;xlsx
nested:a5d4f31c6126f,2,0,1,1,395912,docx;xlsx
nested:a6e6c57e64d7f,2,0,1,0,47932,docx;rar
nested:a72b6df1510fc,3,0,0,2,22668980,rar;xlsb
nested:adc7f490fd4ed,2,0,2,0,16837,docx;txt
nested:ae992701df67c,6,0,5,1,34937,docx;txt;xlsx
Автоматизация подготовки данных для моделирования,1,0,0,0,45537,rar
Автоматизация сезонного сглаживания нескольких рядов,1,0,0,0,13199,rar
Байесовская векторная авторегрессия с дезагрегированным производством и инфляцией (BVAR),1,0,0,0,63111,rar
ДСОЭР модель с К группами агентов (KANK) и двумя структурными разрывами,1,0,0,0,13112313,rar
Дезагрегирование годовых данных ВРП до квартальных,2,0,1,0,57561,rar;txt
Дезагрегированный подход к прогнозированию инфляции (Eviews),1,0,0,0,864364,rar
Дезагрегированный подход к прогнозированию инфляции (на основе Python),2,0,1,0,866618,rar;txt
Загрузка и обработка еженедельных данных по льготной ипотеке,1,0,0,0,13856,rar
Загрузка недельных данных ИПЦ,1,0,0,0,343892,rar
Использование одномерного фильтра Калмана для прогнозирования прокси ВРП,2,0,1,0,57358,rar;txt
КСП инфляции с помощью VAR модели,1,0,0,0,46135,rar
Квартальная прогнозная модель ЦФО,2,0,1,0,286469332,docx;rar
Краткосрочная модель прогнозирования компонентов инфляции,1,0,0,0,13636,rar
Макроэкономический прогноз инфляции из микроэкономических факторов,2,0,1,0,16789072,docx;rar
"Методика отбора переменных, обеспечивающих надежные прогнозы",1,0,0,0,336616,rar
Моделирование и прогнозирование регионального ИПЦ,1,0,0,0,28227,rar
Модель «Недельная – месячная инфляция»,1,0,0,0,5694543,rar
Модель нейронной сети для прогнозирования инфляции,2,0,1,0,37806,rar;txt
Модель оценки потенциального выпуска,2,0,1,0,2888646,docx;rar
