item_code,item_rosstat,item_name,weight_vertical,forecast_value,product_name,2026-04-27,2026-05-25,weekly_fact_index,used_weekly_fact,blended_value,model_contribution_pp,blended_contribution_pp,contribution_delta_pp,method,status
1099,8042,"Пенталгин, 24 таблетки",0.00035,99.16,"Пенталгин, 24 таблетки",306.13,296.86,96.97187469375757,True,96.97187469375757,-0.0002940000000000012,-0.0010598438571848504,-0.0007658438571848492,seasonal_naive_12,fallback_short_history
1100,8038,"Салициловая кислота, 40 мл",0.00031,100.18,,,,,False,100.18,5.5800000000002115e-05,5.5800000000002115e-05,0.0,seasonal_naive_12,fallback_short_history
1107,108,"Печень птицы, кг",0.00225,105.09,,,,,False,105.09,0.011452500000000006,0.011452500000000006,0.0,seasonal_naive_12,fallback_short_history
1108,1132,"Кефир, кг",0.00427,100.32,,,,,False,100.32,0.001366399999999971,0.001366399999999971,0.0,seasonal_naive_12,fallback_short_history
1109,1133,"Сырки творожные, глазированные, кг",0.00124,102.81,,,,,False,102.81,0.003484400000000003,0.003484400000000003,0.0,seasonal_naive_12,fallback_short_history
1110,3306,"Вода питьевая, л",0.00157,101.73,,,,,False,101.73,0.0027161000000000064,0.0027161000000000064,0.0,seasonal_naive_12,fallback_short_history
1111,5104,"Жидкие средства для стирки, л",0.00146,99.81,,,,,False,99.81,-0.00027739999999999666,-0.00027739999999999666,0.0,seasonal_naive_12,fallback_short_history
1112,5324,"Помада, шт.",0.00092,105.26,,,,,False,105.26,0.0048392000000000044,0.0048392000000000044,0.0,seasonal_naive_12,fallback_short_history
1113,7433,"Блоки строительные, 1000 шт.",0.00028,99.37,,,,,False,99.37,-0.0001763999999999987,-0.0001763999999999987,0.0,seasonal_naive_12,fallback_short_history
1114,7807,"Компримированный природный газ, м3",0.00189,100.36,,,,,False,100.36,0.0006803999999999989,0.0006803999999999989,0.0,seasonal_naive_12,fallback_short_history
1115,8057,"Хлоропирамин, 10 таблеток",0.00036,101.32,,,,,False,101.32,0.00047519999999999756,0.00047519999999999756,0.0,seasonal_naive_12,fallback_short_history
