run_id,status,model,observation_cutoff,target_month,group,prediction,weight,contribution
20260909_m1_02,available,GroupsFixed,2023-08-01,2023-09-01,35,0.9583194203779435,0.0012200000000000002,0.0011691496928610912
20260909_m1_02,available,GroupsFixed,2023-08-01,2023-09-01,36,-0.3552967944688852,0.006270000000000001,-0.0022277109013199106
20260909_m1_02,available,GroupsFixed,2023-08-01,2023-09-01,37,-0.48860790620044064,0.006110000000000001,-0.0029853943068846927
20260909_m1_02,available,GroupsFixed,2023-08-01,2023-09-01,38,0.7347552901346764,0.010540000000000002,0.007744320758019492
20260909_m1_02,available,GroupsFixed,2023-08-01,2023-09-01,39,0.15155765479966293,0.014040000000000002,0.002127869473387268
20260909_m1_02,available,GroupsFixed,2023-08-01,2023-09-01,40,0.74603830537556,0.007430000000000001,0.0055430646089404114
20260909_m1_02,available,GroupsFixed,2023-08-01,2023-09-01,41,-0.49740564303301005,0.0029800000000000004,-0.0014822688162383702
20260909_m1_02,available,GroupsFixed,2023-08-01,2023-09-01,42,1.4170842502185879,0.04429000000000001,0.06276266144218128
20260909_m1_02,available,GroupsFixed,2023-08-01,2023-09-01,43,0.2793606458644711,0.016910000000000005,0.004723988521568208
20260909_m1_02,available,GroupsFixed,2023-08-01,2023-09-01,44,0.3190523097135244,0.010430000000000002,0.00332771559031206
20260909_m1_02,available,GroupsFixed,2023-08-01,2023-09-01,46,0.13917149809000284,0.0015700000000000002,0.0002184992520013045
20260909_m1_02,available,GroupsFixed,2023-08-01,2023-09-01,47,-0.09578832409439875,0.019210000000000005,-0.0018400937058534004
20260909_m1_02,available,GroupsFixed,2023-08-01,2023-09-01,48,0.021097012161531536,0.03177000000000001,0.0006702520763718571
20260909_m1_02,available,GroupsFixed,2023-08-01,2023-09-01,49,0.35766598602770894,0.013340000000000001,0.0047712642536096375
20260909_m1_02,available,GroupsFixed,2023-08-01,2023-09-01,50,-0.2925116498692189,0.014610000000000001,-0.004273595204589289
20260909_m1_02,available,GroupsFixed,2023-08-01,2023-09-01,51,0.13932850309572054,0.014210000000000002,0.0019798580289901893
20260909_m1_02,available,GroupsFixed,2023-08-01,2023-09-01,52,2.6128677040167396,0.005520000000000001,0.014423029726172404
20260909_m1_02,available,GroupsFixed,2023-08-01,2023-09-01,53,0.27074448533084244,0.038130000000000004,0.010323487225665024
20260909_m1_02,available,GroupsFixed,2023-08-01,2023-09-01,54,0.5050360231105233,0.045000000000000005,0.02272662103997355
20260909_m1_02,available,GroupsFixed,2023-08-01,2023-09-01,55,0.07961577965401304,0.017180000000000004,0.0013677990944559442
20260909_m1_02,available,GroupsFixed,2023-08-01,2023-09-01,67,0.9315119207095175,0.0026100000000000003,0.002431246113051841
20260909_m1_02,available,GroupsFixed,2023-08-01,2023-10-01,11,0.18523428176439538,0.011960000000000002,0.002215402009902169
20260909_m1_02,available,GroupsFixed,2023-08-01,2023-10-01,12,0.5903796183560999,0.034890000000000004,0.020598344884444328
20260909_m1_02,available,GroupsFixed,2023-08-01,2023-10-01,13,0.49652393784373056,0.016550000000000002,0.008217471171313741
20260909_m1_02,available,GroupsFixed,2023-08-01,2023-10-01,14,0.4900534819272234,0.11236000000000002,0.05506240922934283
20260909_m1_02,available,GroupsFixed,2023-08-01,2023-10-01,15,0.3243679903812562,0.0010200000000000003,0.0003308553501888814
