Item_code;Товар;Компонент;Субкомпонент;Weight
570;Сапоги, ботинки для детей школьного возраста зимние с верхом из натуральной кожи, пара;Непродовольственные товары;Обувь кожаная, текстильная и комбинированная;0.00111
571;Сапоги, ботинки мужские зимние с верхом из натуральной кожи, пара;Непродовольственные товары;Обувь кожаная, текстильная и комбинированная;0.00223
572;Сахар-песок, кг;Продовольственные товары;Сахар;0.00532
573;Свежесрезанные цветы, шт.;Непродовольственные товары;Другие непродовольственные товары;0.00399
574;Свёкла столовая, кг;Продовольственные товары;Плодоовощная продукция, включая картофель;0.00077
575;Светильник потолочный, шт.;Непродовольственные товары;Электротовары и другие бытовые приборы;0.00208
577;Свинина (кроме бескостного мяса), кг;Продовольственные товары;Мясопродукты;0.00481
578;Свинина бескостная, кг;Продовольственные товары;Мясопродукты;0.00257
580;Сельдь соленая, кг;Продовольственные товары;Рыбопродукты;0.00079
584;Сковорода, шт.;Непродовольственные товары;Другие непродовольственные товары;0.00137
585;Смартфон, шт.;Непродовольственные товары;Средства связи;0.00625
587;Смеси сухие молочные для детского питания, кг;Продовольственные товары;Молоко и молочная продукция;0.00077
588;Сметана, кг;Продовольственные товары;Молоко и молочная продукция;0.00748
589;Содержание и ремонт жилья в государственном и муниципальном жилищных фондах, м2 общей площади;Услуги;Жилищные и коммунальные услуги (включая аренду квартир);0.00078
590;Содержание, ремонт жилья для граждан-собственников жилья в результате приватизации, граждан-собственников жилых помещений по иным основаниям, м2 общей площади;Услуги;Жилищные и коммунальные услуги (включая аренду квартир);0.00599
591;Соки фруктовые, л;Продовольственные товары;Другие продовольственные товары;0.00232
592;Соленые и копченые деликатесные продукты из рыбы, кг;Продовольственные товары;Рыбопродукты;0.0013
593;Соль поваренная пищевая, кг;Продовольственные товары;Другие продовольственные товары;0.00122
595;Сорочка верхняя для мальчиков дошкольного возраста, шт.;Непродовольственные товары;Одежда и белье;0.00024
596;Сорочка верхняя для мальчиков школьного возраста, шт.;Непродовольственные товары;Одежда и белье;0.0008899999999999
597;Сорочка верхняя мужская из хлопчатобумажных или смесовых тканей, шт.;Непродовольственные товары;Одежда и белье;0.00449
598;Сорочка ночная женская, шт.;Непродовольственные товары;Одежда и белье;0.00105
599;Сосиски, сардельки, кг;Продовольственные товары;Мясопродукты;0.00553
601;Спички, коробок;Непродовольственные товары;Другие непродовольственные товары;0.00059
602;Стекло оконное листовое, м2;Непродовольственные товары;Строительные материалы;5e-05
605;Стирка и глажение белья прямого, кг;Услуги;Бытовые услуги;0.00081
606;Стол обеденный, шт.;Непродовольственные товары;Мебель;0.00356
607;Стол рабочий кухонный, шт.;Непродовольственные товары;Мебель;0.00091
608;Стрижка модельная в женском зале, стрижка;Услуги;Бытовые услуги;0.00549
609;Стрижка модельная в мужском зале, стрижка;Услуги;Бытовые услуги;0.0051
610;Стул с мягким сиденьем, шт.;Непродовольственные товары;Мебель;0.00259
616;Сухие корма для домашних животных, кг;Непродовольственные товары;Другие непродовольственные товары;0.00104
617;Сухие супы в пакетах, 100 г;Продовольственные товары;Другие продовольственные товары;0.00132
618;Сухофрукты, кг;Продовольственные товары;Плодоовощная продукция, включая картофель;0.00073
620;Сыры плавленые, кг;Продовольственные товары;Сыр;0.00187
621;Сыры твердые, полутвердые и мягкие, кг;Продовольственные товары;Сыр;0.00514
622;Табурет для кухни, шт.;Непродовольственные товары;Мебель;0.00063
623;Тарелка обеденная, шт.;Непродовольственные товары;Другие непродовольственные товары;0.00085
624;Таурин, 4%, 5 мл;Непродовольственные товары;Медицинские товары;0.00036
628;Театры, билет;Услуги;Услуги организаций культуры;0.00033
629;Телевизор цветного изображения, шт.;Непродовольственные товары;Телерадиотовары;0.00258
633;Термометр медицинский электронный стандартный, шт.;Непродовольственные товары;Медицинские товары;6e-05
634;Тетрадь школьная, шт.;Непродовольственные товары;Другие непродовольственные товары;0.00029
636;Ткани декоративные для изготовления штор и занавесей, м;Непродовольственные товары;Другие непродовольственные товары;0.0008
638;Ткани хлопчатобумажные бельевые, м;Непродовольственные товары;Другие непродовольственные товары;0.0001
641;Ткань костюмная шерстяная и полушерстяная, м;Непродовольственные товары;Другие непродовольственные товары;6e-05
642;Ткань платьевая из искусственного или синтетического шелка, м;Непродовольственные товары;Другие непродовольственные товары;8e-05
646;Торты, кг;Продовольственные товары;Кондитерские изделия;0.00277
647;Трикотажная шапочка детская, шт.;Непродовольственные товары;Трикотажные изделия;0.00072
650;Триммер электрический, шт.;Непродовольственные товары;Инструменты и оборудование;0.00056
651;Троксерутин, 2% гель, 40 г;Непродовольственные товары;Медицинские товары;0.0004
652;Трусы детские, шт.;Непродовольственные товары;Трикотажные изделия;0.00043
653;Трусы мужские, шт.;Непродовольственные товары;Трикотажные изделия;0.00145
654;Туалетная вода, 100 мл;Непродовольственные товары;Парфюмерно-косметические товары;0.00579
655;Туфли детские летние (сандалеты), пара;Непродовольственные товары;Обувь кожаная, текстильная и комбинированная;0.00076
659;Туфли женские модельные с верхом из натуральной кожи, пара;Непродовольственные товары;Обувь кожаная, текстильная и комбинированная;0.00094
660;Тушь для ресниц, шт.;Непродовольственные товары;Парфюмерно-косметические товары;0.00179
661;Тюль, полотно гардинное, м;Непродовольственные товары;Галантерея;0.0022
663;Удаление зуба под местным обезболиванием, удаление;Услуги;Медицинские услуги;0.00116
664;Удостоверение завещания в нотариальной конторе, услуга;Услуги;Другие услуги;0.00012
665;Ужин в ресторане, на 1 человека;Продовольственные товары;Общественное питание;0.00313
666;Ультразвуковое исследование брюшной полости, исследование;Услуги;Медицинские услуги;0.00137
675;Услуги организатора проведения торжеств, услуга;Услуги;Бытовые услуги;0.00247
678;Услуги по воспитанию детей, предоставляемые наемным персоналом, час;Услуги;Бытовые услуги;0.00121
679;Услуги по организации и выполнению работ по эксплуатации домов ЖК, ЖСК, ТСЖ, м2 общей площади;Услуги;Жилищные и коммунальные услуги (включая аренду квартир);0.00526
690;Установка пластиковых окон, м2;Услуги;Бытовые услуги;0.0018
691;Устная консультация юриста по семейным вопросам, консультация;Услуги;Другие услуги;0.00011
692;Учебник, учебное пособие, дидактический материал для общеобразовательной школы, шт.;Непродовольственные товары;Печатные издания;0.00048
694;Фарш мясной, кг;Продовольственные товары;Мясопродукты;0.0094
695;Физиотерапевтическое лечение, процедура;Услуги;Медицинские услуги;0.00014
697;Филе рыбное, кг;Продовольственные товары;Рыбопродукты;0.00204
698;Филе сельди соленое, кг;Продовольственные товары;Рыбопродукты;0.00065
699;Флеш-накопитель USB, шт.;Непродовольственные товары;Телерадиотовары;3e-05
701;Фотоаппарат, шт.;Непродовольственные товары;Другие непродовольственные товары;0.00019
703;Футболка детская, шт.;Непродовольственные товары;Трикотажные изделия;0.00049
704;Халат женский, шт.;Непродовольственные товары;Одежда и белье;0.00119
706;Химчистка мужского костюма, шт.;Услуги;Бытовые услуги;0.00012
710;Хлеб из ржаной муки и из смеси муки ржаной и пшеничной, кг;Продовольственные товары;Хлеб и хлебобулочные изделия;0.00255
711;Хлопья из злаков (сухие завтраки), кг;Продовольственные товары;Хлеб и хлебобулочные изделия;0.00115
712;Холодильник двухкамерный, емкостью 250-360 л, шт.;Непродовольственные товары;Электротовары и другие бытовые приборы;0.00262
714;Цемент тарированный, 50 кг;Непродовольственные товары;Строительные материалы;0.00066
716;Чай черный байховый пакетированный, 25 пакетиков;Продовольственные товары;Чай, кофе, какао;0.00197
717;Чай черный байховый, кг;Продовольственные товары;Чай, кофе, какао;0.00269
718;Чайник, шт.;Непродовольственные товары;Другие непродовольственные товары;0.00102
721;Часы наручные, шт.;Непродовольственные товары;Другие непродовольственные товары;0.00028
722;Чашка чайная с блюдцем, комплект;Непродовольственные товары;Другие непродовольственные товары;0.00028
723;Чеснок, кг;Продовольственные товары;Плодоовощная продукция, включая картофель;0.00111
726;Шампунь, 250 мл;Непродовольственные товары;Парфюмерно-косметические товары;0.0019
727;Шиномонтаж колес легкового автомобиля, услуга;Услуги;Бытовые услуги;0.00355
728;Шины для легкового автомобиля, шт.;Непродовольственные товары;Легковые автомобили;0.00355
729;Шкаф-вешалка для прихожей, шт.;Непродовольственные товары;Мебель;0.00078
730;Шкаф для платья и белья, шт.;Непродовольственные товары;Мебель;0.0023
731;Шкаф навесной кухонный (полка), двухстворчатый, шт.;Непродовольственные товары;Мебель;0.00067
734;Шоколад, кг;Продовольственные товары;Кондитерские изделия;0.0034
735;Щетка зубная, шт.;Непродовольственные товары;Галантерея;0.00174
740;Экскурсия автобусная, час;Услуги;Другие услуги;0.00112
741;Электропылесос напольный, шт.;Непродовольственные товары;Электротовары и другие бытовые приборы;0.00185
742;Электроутюг, шт.;Непродовольственные товары;Электротовары и другие бытовые приборы;0.00079
743;Электрочайник, шт.;Непродовольственные товары;Электротовары и другие бытовые приборы;0.00058
744;Электроэнергия в квартирах без электроплит сверх минимального объема потребления, в расчете за 100 кВт.ч;Услуги;Жилищные и коммунальные услуги (включая аренду квартир);0.00107
745;Электроэнергия в квартирах без электроплит за минимальный объем потребления, в расчете за 100 кВт.ч;Услуги;Жилищные и коммунальные услуги (включая аренду квартир);0.00638
746;Электроэнергия в квартирах с электроплитами за минимальный объем потребления, в расчете за 100 кВт.ч;Услуги;Жилищные и коммунальные услуги (включая аренду квартир);0.00315
747;Электроэнергия в квартирах с электроплитами сверх минимального объема потребления, в расчете за 100 кВт.ч;Услуги;Жилищные и коммунальные услуги (включая аренду квартир);0.00082
748;Эналаприл, 5 мг, 10 таблеток;Непродовольственные товары;Медицинские товары;0.00035
750;Юбка для девочек школьного возраста из полушерстяных тканей, шт.;Непродовольственные товары;Одежда и белье;0.00076
751;Юбка женская из полушерстяных или смесовых тканей, шт.;Непродовольственные товары;Одежда и белье;0.00203
753;Яблоки, кг;Продовольственные товары;Плодоовощная продукция, включая картофель;0.00515
754;Яйца куриные, 10 шт.;Продовольственные товары;Яйца;0.00543
786;Поездка на отдых в Турцию, поездка;Услуги;Услуги в сфере зарубежного туризма;0.0004
795;Варежки (перчатки) детские, пара;Непродовольственные товары;Трикотажные изделия;8e-05
809;Шарф шерстяной, полушерстяной или из смесовой пряжи для взрослых, шт.;Непродовольственные товары;Трикотажные изделия;0.00077
851;Активированный уголь, 250 мг, 10 таблеток;Непродовольственные товары;Медицинские товары;0.00032
958;Чай зеленый, кг;Продовольственные товары;Чай, кофе, какао;0.00169
959;Брюки женские из джинсовой ткани (джинсы), шт.;Непродовольственные товары;Одежда и белье;0.00282
960;Носки женские, гольфы, пара;Непродовольственные товары;Другие непродовольственные товары;0.0007
961;Пена для бритья, 200 мл;Непродовольственные товары;Парфюмерно-косметические товары;0.00085
962;Крем для рук;Непродовольственные товары;Парфюмерно-косметические товары;0.00117
963;Бритвенные станки одноразовые, шт.;Непродовольственные товары;Галантерея;0.0008
964;Лампа светодиодная, шт.;Непродовольственные товары;Электротовары и другие бытовые приборы;0.00026
965;Моноблок, шт.;Непродовольственные товары;Персональные компьютеры;0.00092
966;Годовая стоимость полиса обязательного страхования гражданской ответственности владельцев транспортных средств (ОСАГО), полис;Услуги;Другие услуги;0.0013
968;Рюкзак для взрослых, шт.;Непродовольственные товары;Галантерея;0.00087
970;Сливки питьевые, л;Продовольственные товары;Молоко и молочная продукция;0.00112
971;Зелень свежая, кг;Продовольственные товары;Плодоовощная продукция, включая картофель;0.00098
972;Грибы свежие, кг;Продовольственные товары;Плодоовощная продукция, включая картофель;0.00119
973;Ягоды замороженные, кг;Продовольственные товары;Плодоовощная продукция, включая картофель;0.00026
976;Гель для душа, 250 мл;Непродовольственные товары;Парфюмерно-косметические товары;0.00105
977;Мыло туалетное жидкое, 250 мл;Непродовольственные товары;Парфюмерно-косметические товары;0.00099
978;Дезодорант, 50 мл;Непродовольственные товары;Парфюмерно-косметические товары;0.00092
979;Кресло мягкое, шт.;Непродовольственные товары;Мебель;0.00377
980;Матрас для взрослых, шт.;Непродовольственные товары;Мебель;0.00306
981;Салфетки влажные, упаковка 20 шт.;Непродовольственные товары;Другие непродовольственные товары;0.00045
982;Бумажные столовые салфетки, упаковка 10 шт.;Непродовольственные товары;Другие непродовольственные товары;0.00306
983;Бумажные носовые платки, упаковка 10 шт.;Непродовольственные товары;Другие непродовольственные товары;0.00042
984;Прокладки женские гигиенические, 10 шт.;Непродовольственные товары;Другие непродовольственные товары;0.00108
985;Наушники беспроводные, шт.;Непродовольственные товары;Средства связи;0.00189
987;Цефтриаксон, 1 г;Непродовольственные товары;Медицинские товары;0.0004
992;Амлодипин, 10 мг, 10 таблеток;Непродовольственные товары;Медицинские товары;0.00035
993;Омепразол, 20 мг, 10 таблеток;Непродовольственные товары;Медицинские товары;0.0004
994;Хлоргексидин, 100 мл;Непродовольственные товары;Медицинские товары;0.00033
995;Амоксициллин с клавулановой кислотой, 500 мг+125мг, 10 таблеток;Непродовольственные товары;Медицинские товары;0.00039
996;Ибупрофен, 200 мг, 10 таблеток;Непродовольственные товары;Медицинские товары;0.00049
997;Шприцы одноразовые, шт.;Непродовольственные товары;Медицинские товары;6e-05
999;Антисептик для рук, 100 мл;Непродовольственные товары;Медицинские товары;0.00017
1000;Термометр медицинский безртутный (галинстановый), шт.;Непродовольственные товары;Медицинские товары;6e-05
1001;Установка натяжного потолка, м2;Услуги;Бытовые услуги;0.00073
1002;Услуги аренды автомобилей, час;Услуги;Услуги пассажирского транспорта;0.00017
1003;Подписка на онлайн-видеосервисы, месяц;Услуги;Услуги телекоммуникационные;0.00766
1004;Проживание в гостинице 1* или в мотеле, сутки с человека;Услуги;Другие услуги;5e-05
1005;Проживание в гостинице 2*, сутки с человека;Услуги;Другие услуги;4e-05
1006;Проживание в гостинице 3*, сутки с человека;Услуги;Другие услуги;0.00075
1007;Проживание в гостинице 4*-5*, сутки с человека;Услуги;Другие услуги;0.00067
1008;Проживание в хостеле, сутки с человека;Услуги;Другие услуги;0.00061
1009;Экскурсионные туры по России, поездка;Услуги;Другие услуги;0.00138
1011;Поездка на отдых в ОАЭ, поездка;Услуги;Услуги в сфере зарубежного туризма;0.0004
1012;Услуги сиделок, час;Услуги;Медицинские услуги;0.00046
1013;Диагностика на магнитно-резонансном или компьютерном томографе, услуга;Услуги;Медицинские услуги;0.00045
1014;Гастроскопия (ФГДС, ЭГДС), услуга;Услуги;Медицинские услуги;0.00059
1020;Аскорбиновая кислота, 50 мг, 100 драже;Непродовольственные товары;Медицинские товары;0.00028
1024;Валерианы экстракт, 20 мг, 10 таблеток;Непродовольственные товары;Медицинские товары;0.00029
1025;Газета в розницу, шт.;Непродовольственные товары;Печатные издания;0.00024
1030;Клубная карта в фитнес-клуб, месяц;Услуги;Другие услуги;0.00185
1032;Кроссовые туфли для взрослых, пара;Непродовольственные товары;Обувь кожаная, текстильная и комбинированная;0.00518
1035;Метилурацил, 10 % мазь, 25 г;Непродовольственные товары;Медицинские товары;0.00037
1037;Мирамистин, 0,01%, 150 мл;Непродовольственные товары;Медицинские товары;0.00039
1038;Натрия хлорид, 0,9%, 100 мл;Непродовольственные товары;Медицинские товары;0.00039
1039;Нафазолин, 0,1%, 15 мл;Непродовольственные товары;Медицинские товары;0.00044
1040;Парацетамол, 500 мг, 10 таблеток;Непродовольственные товары;Медицинские товары;0.00039
1041;Перекись водорода, 3%, 100 мл;Непродовольственные товары;Медицинские товары;0.00036
1042;Пиво, л;Продовольственные товары;Алкогольные напитки;0.00372
1043;Поездка на отдых в Египет, поездка;Услуги;Услуги в сфере зарубежного туризма;0.0002
1045;Ренгалин, 20 таблеток;Непродовольственные товары;Медицинские товары;0.0004
1046;Сигареты с фильтром, пачка;Непродовольственные товары;Табачные изделия;0.0086599999999999
1048;Сумка женская, шт.;Непродовольственные товары;Галантерея;0.00138
1049;Творог, кг;Продовольственные товары;Молоко и молочная продукция;0.00591
1050;Туфли женские закрытые, пара;Непродовольственные товары;Обувь кожаная, текстильная и комбинированная;0.00196
1051;Туфли женские летние, босоножки, пара;Непродовольственные товары;Обувь кожаная, текстильная и комбинированная;0.00356
1054;Хлеб и булочные изделия из пшеничной муки различных сортов, кг;Продовольственные товары;Хлеб и хлебобулочные изделия;0.00735
1055;Цитрамон, 10 таблеток;Непродовольственные товары;Медицинские товары;0.00039
1060;Поездки в страны Закавказья, поездка;Услуги;Услуги в сфере зарубежного туризма;0.00022
1063;Поездки в отдельные страны Средней Азии, поездка;Услуги;Услуги в сфере зарубежного туризма;4e-05
1064;Поездка в Беларусь, поездка;Услуги;Услуги в сфере зарубежного туризма;0.0001
1065;Поездки в отдельные страны Юго-Восточной Азии, поездка;Услуги;Услуги в сфере зарубежного туризма;0.00017
1066;Молоко питьевое цельное пастеризованное более 3,2% жирности, л;Продовольственные товары;Молоко и молочная продукция;0.00142
1067;Творожок детский, кг;Продовольственные товары;Молоко и молочная продукция;6e-05
1068;Молоко для детей, л;Продовольственные товары;Молоко и молочная продукция;1e-05
1069;Сухие приправы, специи, кг;Продовольственные товары;Другие продовольственные товары;0.00139
1070;Трикотажный головной убор для взрослых, шт.;Непродовольственные товары;Трикотажные изделия;0.00057
1071;Крем детский, 100 г (100 мл);Непродовольственные товары;Парфюмерно-косметические товары;0.00137
1072;Чемодан, шт.;Непродовольственные товары;Галантерея;0.00108
1073;Бумага офисная, упаковка 500 листов;Непродовольственные товары;Другие непродовольственные товары;0.00015
1074;Смарт-часы, шт.;Непродовольственные товары;Средства связи;0.00085
1075;Коньки, пара;Непродовольственные товары;Другие непродовольственные товары;0.00035
1076;Гипсокартон, м2;Непродовольственные товары;Строительные материалы;0.00075
1077;Кресло детское автомобильное, шт.;Непродовольственные товары;Легковые автомобили;0.00056
1078;Соска (пустышка) детская, шт.;Непродовольственные товары;Медицинские товары;6e-05
1079;Бутылочка для кормления, шт.;Непродовольственные товары;Медицинские товары;0.00066
1083;Поездка на отдых на Черноморское побережье России и в Крым, поездка;Услуги;Другие услуги;0.00205
1086;Горошек зеленый консервированный, кг;Продовольственные товары;Другие продовольственные товары;0.00081
1087;Перец сладкий свежий, кг;Продовольственные товары;Плодоовощная продукция, включая картофель;0.00266
1088;Робот-пылесос, шт.;Непродовольственные товары;Электротовары и другие бытовые приборы;0.00116
1091;Валосердин, 25 мл;Непродовольственные товары;Медицинские товары;0.00033
1094;Диклофенак, 15 мл;Непродовольственные товары;Медицинские товары;0.00038
1095;Кардиомагнил, 100 таблеток;Непродовольственные товары;Медицинские товары;0.0004
1097;Меновазин, 40 мл;Непродовольственные товары;Медицинские товары;0.00034
1099;Пенталгин, 24 таблетки;Непродовольственные товары;Медицинские товары;0.00035
1100;Салициловая кислота, 40 мл;Непродовольственные товары;Медицинские товары;0.00031
1101;Спазмалгон, 10 таблеток;Непродовольственные товары;Медицинские товары;0.0004
1105;Воздушный и железнодорожный транспорт;Услуги;Услуги пассажирского транспорта;0.00569
1107;Печень птицы, кг;Продовольственные товары;Мясопродукты;0.00225
1108;Кефир, кг;Продовольственные товары;Молоко и молочная продукция;0.00427
1109;Сырки творожные, глазированные, кг;Продовольственные товары;Молоко и молочная продукция;0.00124
1110;Вода питьевая, л;Продовольственные товары;Другие продовольственные товары;0.00157
1111;Жидкие средства для стирки, л;Непродовольственные товары;Моющие и чистящие средства;0.00146
1112;Помада, шт.;Непродовольственные товары;Парфюмерно-косметические товары;0.00092
1113;Блоки строительные, 1000 шт.;Непродовольственные товары;Строительные материалы;0.00028
1114;Компримированный природный газ, м3;Непродовольственные товары;Топливо моторное;0.00189
1115;Хлоропирамин, 10 таблеток;Непродовольственные товары;Медицинские товары;0.00036
1116;Цетиризин, 10 таблеток;Непродовольственные товары;Медицинские товары;0.00037
1117;Интерферон альфа-2В, 10 мл;Непродовольственные товары;Медицинские товары;0.00039
1118;Метопролол, 10 таблеток;Непродовольственные товары;Медицинские товары;0.00046
1119;Спиронолактон, 10 таблеток;Непродовольственные товары;Медицинские товары;0.00035
1120;Лозартан, 10 таблеток;Непродовольственные товары;Медицинские товары;0.0004
1121;Аторвастатин, 10 таблеток;Непродовольственные товары;Медицинские товары;0.0004
1122;Мелоксикам, 10 таблеток;Непродовольственные товары;Медицинские товары;0.00038
1123;Кеторолак, 10 таблеток;Непродовольственные товары;Медицинские товары;0.00042
1124;Розувастатин, 10 таблеток;Непродовольственные товары;Медицинские товары;0.00034
1125;Алтея лекарственного травы экстракт, 10 таблеток;Непродовольственные товары;Медицинские товары;0.00041
1126;Римантадин, 10 таблеток;Непродовольственные товары;Медицинские товары;0.00032
1127;Погребение, услуга;Услуги;Бытовые услуги;0.00034
1128;Курьерская доставка, услуга;Услуги;Другие услуги;0.00012
1129;Междугородная телефонная связь, минута;Услуги;Услуги телекоммуникационные;0.00019
1131;Вода минеральная, л;Продовольственные товары;Другие продовольственные товары;0.00085
