Item_code;Товар;Компонент;Субкомпонент;Weight
285;Консервы мясные для детского питания, кг;Продовольственные товары;Мясопродукты;3e-05
286;Консервы мясные, 350 г;Продовольственные товары;Мясопродукты;0.00041
288;Консервы овощные для детского питания, кг;Продовольственные товары;Другие продовольственные товары;8e-05
290;Консервы рыбные в томатном соусе, 350 г;Продовольственные товары;Рыбопродукты;0.0005
291;Консервы рыбные натуральные и с добавлением масла, 350 г;Продовольственные товары;Рыбопродукты;0.0013
292;Консервы томатные, кг;Продовольственные товары;Другие продовольственные товары;0.00128
294;Консервы фруктово-ягодные для детского питания, кг;Продовольственные товары;Другие продовольственные товары;9e-05
295;Конструктор детский пластмассовый, набор;Непродовольственные товары;Другие непродовольственные товары;0.00029
296;Конфеты мягкие, глазированные шоколадом, кг;Продовольственные товары;Кондитерские изделия;0.00332
298;Конфеты шоколадные натуральные и с добавками, кг;Продовольственные товары;Кондитерские изделия;0.003
301;Коньяк ординарный отечественный, л;Продовольственные товары;Алкогольные напитки;0.00278
302;Корвалол, 25 мл;Непродовольственные товары;Медицинские товары;0.00039
303;Корригирующие очки, шт.;Непродовольственные товары;Медицинские товары;0.00097
304;Костюм-двойка мужской из шерстяных, полушерстяных или смесовых  тканей, шт.;Непродовольственные товары;Одежда и белье;0.00255
305;Костюм спортивный для взрослых, шт.;Непродовольственные товары;Трикотажные изделия;0.00175
306;Костюм спортивный для детей школьного возраста, шт.;Непродовольственные товары;Трикотажные изделия;0.00141
307;Костюм трикотажный для детей ясельного возраста, шт.;Непродовольственные товары;Трикотажные изделия;0.00037
309;Кофе в организациях быстрого обслуживания, 200 г;Продовольственные товары;Общественное питание;0.00148
310;Кофе натуральный в зернах и молотый, кг;Продовольственные товары;Чай, кофе, какао;0.00406
311;Кофе натуральный растворимый, кг;Продовольственные товары;Чай, кофе, какао;0.00547
312;Краска для волос, шт.;Непродовольственные товары;Парфюмерно-косметические товары;0.00069
313;Краски масляные, эмали отечественные, кг;Непродовольственные товары;Строительные материалы;0.00097
314;Креветки мороженые неразделанные, кг;Продовольственные товары;Рыбопродукты;0.00036
315;Крем для лица, 100 г (100 мл);Непродовольственные товары;Парфюмерно-косметические товары;0.00159
316;Кровать для новорожденных,шт.;Непродовольственные товары;Мебель;0.00051
319;Кроссовые туфли для детей с верхом из искусственной кожи, пара;Непродовольственные товары;Обувь кожаная, текстильная и комбинированная;0.00156
320;Крупа гречневая-ядрица, кг;Продовольственные товары;Макаронные и крупяные изделия;0.00337
322;Крупа манная, кг;Продовольственные товары;Макаронные и крупяные изделия;0.00059
323;Крупы овсяная и перловая, кг;Продовольственные товары;Макаронные и крупяные изделия;0.00032
324;Ксерокопирование документа, лист;Услуги;Другие услуги;0.0009
325;Ксилометазолин (Галазолин) 0,1%, 10 мл;Непродовольственные товары;Медицинские товары;0.00051
326;Кулинарные изделия из птицы, кг;Продовольственные товары;Мясопродукты;0.00167
327;Куртка для детей дошкольного возраста с верхом из плащевых тканей утепленная, шт.;Непродовольственные товары;Одежда и белье;0.00088
328;Куртка для детей школьного возраста с верхом из плащевых тканей утепленная, шт.;Непродовольственные товары;Одежда и белье;0.00084
329;Куртка женская без утеплителя (ветровка), шт.;Непродовольственные товары;Одежда и белье;0.00271
330;Куртка мужская без утеплителя (ветровка), шт.;Непродовольственные товары;Одежда и белье;0.00269
331;Куртка мужская из натуральной кожи, шт.;Непродовольственные товары;Одежда и белье;0.00068
332;Куртка мужская с верхом из плащевых тканей утепленная, шт.;Непродовольственные товары;Одежда и белье;0.00192
333;Куры охлажденные и мороженые, кг;Продовольственные товары;Мясопродукты;0.00958
