Item_code,Item_name,Item_rosstat
275,"Комбинезон (костюм) утепленный для детей дошкольного возраста, шт.",4173
276,"Комбинезон утепленный для детей до одного года, шт.",4188
277,"Комбинированные анальгетики, 10 таблеток",7957
278,"Комбинированный билет для проезда в городском пассажирском транспорте в течение месяца, билет",9218
279,"Коммунальные услуги",9470
280,"Комплект постельного белья полутораспальный из хлопчатобумажной ткани, комплект",4195
281,"Комплект столовых приборов, комплект на 1 человека",6013
282,"Компьютер персональный переносной (ноутбук), шт.",7032
283,"Компьютер планшетный, шт.",7033
284,"Консервы мясные",300
285,"Консервы мясные для детского питания, кг",302
286,"Консервы мясные, 350 г",303
287,"Консервы овощные",1300
288,"Консервы овощные для детского питания, кг",1303
289,"Консервы рыбные",600
290,"Консервы рыбные в томатном соусе, 350 г",605
291,"Консервы рыбные натуральные и с добавлением масла, 350 г",604
292,"Консервы томатные, кг",1304
293,"Консервы фруктово-ягодные",1400
294,"Консервы фруктово-ягодные для детского питания, кг",1402
295,"Конструктор детский пластмассовый, набор",7208
296,"Конфеты мягкие, глазированные шоколадом, кг",1712
297,"Конфеты шоколадные",1720
298,"Конфеты шоколадные натуральные и с добавками, кг",1718
299,"Коньки роликовые, пара",7352
300,"Коньяк",3000
301,"Коньяк ординарный отечественный, л",3002
302,"Корвалол, 25 мл",7924
303,"Корригирующие очки, шт.",8009
304,"Костюм-двойка мужской из шерстяных, полушерстяных или смесовых  тканей, шт.",4121
305,"Костюм спортивный для взрослых, шт.",4403
306,"Костюм спортивный для детей школьного возраста, шт.",4404
307,"Костюм трикотажный для детей ясельного возраста, шт.",4405
308,"Кофе",1910
309,"Кофе в организациях быстрого обслуживания, 200 г",3602
310,"Кофе натуральный в зернах и молотый, кг",1904
311,"Кофе натуральный растворимый, кг",1902
312,"Краска для волос, шт.",5319
313,"Краски масляные, эмали отечественные, кг",7415
314,"Креветки мороженые неразделанные, кг",414
315,"Крем для лица, 100 г (100 мл)",5311
316,"Кровать для новорожденных,шт.",5820
317,"Кроссовые туфли для взрослых с верхом из искусственной кожи, пара",4771
318,"Кроссовые туфли для взрослых с верхом из натуральной кожи, пара",4772
319,"Кроссовые туфли для детей с верхом из искусственной кожи, пара",4744
320,"Крупа гречневая-ядрица, кг",2307
321,"Крупа и бобовые",2300
322,"Крупа манная, кг",2302
323,"Крупы овсяная и перловая, кг",2308
324,"Ксерокопирование документа, лист",9992
325,"Ксилометазолин (Галазолин) 0,1%, 10 мл",7916
326,"Кулинарные изделия из птицы, кг",209
327,"Куртка для детей дошкольного возраста с верхом из плащевых тканей утепленная, шт.",4180
328,"Куртка для детей школьного возраста с верхом из плащевых тканей утепленная, шт.",4153
329,"Куртка женская без утеплителя (ветровка), шт.",4129
330,"Куртка мужская без утеплителя (ветровка), шт.",4128
331,"Куртка мужская из натуральной кожи, шт.",4120
332,"Куртка мужская с верхом из плащевых тканей утепленная, шт.",4113
333,"Куры охлажденные и мороженые, кг",114
334,"Ламинат, м2",7428
335,"Лампа электрическая осветительная, шт.",6416
336,"Лампа энергосберегающая, шт.",6431
337,"Левомеколь, мазь, 40 г",7994
338,"Легковой автомобиль импортный подержанный, шт.",7702
339,"Легковой автомобиль иностранной марки новый, шт.",7708
340,"Легковой автомобиль отечественный новый, шт.",7703
341,"Лечебный массаж, сеанс",9792
342,"Лечение кариеса, пломба",9765
343,"Лимоны, кг",2705
344,"Линекс, 10 капсул",7987
345,"Линолеум, м2",7411
