Code,Day,Region_code,Item_code,MoM,YoY,Calc,Date
10010070350,01/01/10 00:00:00,7,350,100.0,102.84,0,2010-01-01
10010070351,01/01/10 00:00:00,7,351,100.0,124.7,0,2010-01-01
10010070352,01/01/10 00:00:00,7,352,99.18,98.110001,0,2010-01-01
10010070354,01/01/10 00:00:00,7,354,100.55,102.52,0,2010-01-01
10010070357,01/01/10 00:00:00,7,357,101.91,111.94,0,2010-01-01
10010070358,01/01/10 00:00:00,7,358,100.0,121.87,0,2010-01-01
10010070359,01/01/10 00:00:00,7,359,99.209999,82.779999,0,2010-01-01
10010070360,01/01/10 00:00:00,7,360,99.830002,113.17,0,2010-01-01
10010070363,01/01/10 00:00:00,7,363,100.0,110.32,0,2010-01-01
10010070365,01/01/10 00:00:00,7,365,100.0,104.53,0,2010-01-01
10010070370,01/01/10 00:00:00,7,370,100.0,159.59,0,2010-01-01
10010070373,01/01/10 00:00:00,7,373,100.0,104.45,0,2010-01-01
10010070374,01/01/10 00:00:00,7,374,100.0,113.88,0,2010-01-01
10010070378,01/01/10 00:00:00,7,378,100.0,100.0,0,2010-01-01
10010070379,01/01/10 00:00:00,7,379,101.55,99.690002,0,2010-01-01
10010070380,01/01/10 00:00:00,7,380,101.86,110.54,0,2010-01-01
10010070381,01/01/10 00:00:00,7,381,100.0,99.82,0,2010-01-01
10010070382,01/01/10 00:00:00,7,382,124.22,122.84,0,2010-01-01
10010070384,01/01/10 00:00:00,7,384,100.0,215.98,0,2010-01-01
10010070386,01/01/10 00:00:00,7,386,100.0,100.0,0,2010-01-01
10010070388,01/01/10 00:00:00,7,388,100.34,97.419998,0,2010-01-01
10010070389,01/01/10 00:00:00,7,389,100.0,117.15,0,2010-01-01
10010070390,01/01/10 00:00:00,7,390,100.0,114.17,0,2010-01-01
10010070395,01/01/10 00:00:00,7,395,99.410004,97.790001,0,2010-01-01
10010070396,01/01/10 00:00:00,7,396,100.0,106.36,0,2010-01-01
10010070397,01/01/10 00:00:00,7,397,100.0,105.68,0,2010-01-01
10010070399,01/01/10 00:00:00,7,399,100.0,102.09,0,2010-01-01
10010070400,01/01/10 00:00:00,7,400,100.0,100.0,0,2010-01-01
10010070402,01/01/10 00:00:00,7,402,100.0,106.67,0,2010-01-01
10010070404,01/01/10 00:00:00,7,404,102.93,97.160004,0,2010-01-01
10010070405,01/01/10 00:00:00,7,405,100.0,109.71,0,2010-01-01
10010070408,01/01/10 00:00:00,7,408,100.0,100.0,0,2010-01-01
10010070410,01/01/10 00:00:00,7,410,100.0,107.87,0,2010-01-01
10010070411,01/01/10 00:00:00,7,411,100.0,113.18,0,2010-01-01
10010070412,01/01/10 00:00:00,7,412,100.0,106.26,0,2010-01-01
10010070413,01/01/10 00:00:00,7,413,100.0,124.35,0,2010-01-01
10010070415,01/01/10 00:00:00,7,415,100.0,105.58,0,2010-01-01
10010070416,01/01/10 00:00:00,7,416,102.44,102.44,0,2010-01-01
10010070420,01/01/10 00:00:00,7,420,100.0,119.9,0,2010-01-01
10010070421,01/01/10 00:00:00,7,421,100.0,124.18,0,2010-01-01
10010070426,01/01/10 00:00:00,7,426,100.0,172.74001,0,2010-01-01
10010070427,01/01/10 00:00:00,7,427,100.0,135.0,0,2010-01-01
10010070430,01/01/10 00:00:00,7,430,100.0,120.0,0,2010-01-01
10010070432,01/01/10 00:00:00,7,432,100.24,121.15,0,2010-01-01
10010070433,01/01/10 00:00:00,7,433,101.11,120.4,0,2010-01-01
10010070434,01/01/10 00:00:00,7,434,100.0,95.139999,0,2010-01-01
10010070442,01/01/10 00:00:00,7,442,100.0,106.88,0,2010-01-01
10010070443,01/01/10 00:00:00,7,443,100.0,106.84,0,2010-01-01
10010070447,01/01/10 00:00:00,7,447,100.0,110.52,0,2010-01-01
10010070451,01/01/10 00:00:00,7,451,97.830002,107.73,0,2010-01-01
10010070452,01/01/10 00:00:00,7,452,100.0,103.76,0,2010-01-01
10010070453,01/01/10 00:00:00,7,453,100.0,104.25,0,2010-01-01
10010070454,01/01/10 00:00:00,7,454,100.0,100.0,0,2010-01-01
10010070455,01/01/10 00:00:00,7,455,99.769997,126.93,0,2010-01-01
10010070456,01/01/10 00:00:00,7,456,100.0,127.91,0,2010-01-01
10010070457,01/01/10 00:00:00,7,457,100.81,120.48,0,2010-01-01
10010070458,01/01/10 00:00:00,7,458,100.0,104.19,0,2010-01-01
10010070459,01/01/10 00:00:00,7,459,100.0,105.97,0,2010-01-01
10010070460,01/01/10 00:00:00,7,460,100.0,100.0,0,2010-01-01
10010070461,01/01/10 00:00:00,7,461,108.82,129.22,0,2010-01-01
10010070464,01/01/10 00:00:00,7,464,100.0,120.0,0,2010-01-01
10010070466,01/01/10 00:00:00,7,466,100.0,105.92,0,2010-01-01
10010070468,01/01/10 00:00:00,7,468,101.19,128.03,0,2010-01-01
10010070469,01/01/10 00:00:00,7,469,100.0,109.77,0,2010-01-01
10010070470,01/01/10 00:00:00,7,470,101.76,112.55,0,2010-01-01
10010070471,01/01/10 00:00:00,7,471,100.0,108.62,0,2010-01-01
10010070475,01/01/10 00:00:00,7,475,100.0,113.94,0,2010-01-01
10010070481,01/01/10 00:00:00,7,481,100.0,104.04,0,2010-01-01
10010070482,01/01/10 00:00:00,7,482,100.0,116.7,0,2010-01-01
10010070483,01/01/10 00:00:00,7,483,100.0,115.31,0,2010-01-01
10010070484,01/01/10 00:00:00,7,484,100.0,117.06,0,2010-01-01
