item_code,item_name,item_weight,source_component,source_subcomponent,subcomponent_code,external_var,mapping_source
597,"Сорочка верхняя мужская из хлопчатобумажных или смесовых тканей, шт.",0.00449,Непродовольственные товары,Одежда и белье,29,n_odegd,micro_sprav_subcomponent_exact
250,"Карамель, кг",0.00369,Продовольственные товары,Кондитерские изделия,16,p_sweet,micro_sprav_subcomponent_exact
119,"Аренда однокомнатной квартиры у частных лиц, месяц",0.00435,Услуги,,14,u_gkh,service_name_rule
144,"Брюки мужские из джинсовой ткани (джинсы), шт.",0.00408,Непродовольственные товары,Одежда и белье,29,n_odegd,micro_sprav_subcomponent_exact
481,"Платье (платье-костюм) женское из хлопчатобумажных или смесовых тканей, шт.",0.00396,Непродовольственные товары,Одежда и белье,29,n_odegd,micro_sprav_subcomponent_exact
204,"Груши, кг",0.00292,Продовольственные товары,"Плодоовощная продукция, включая картофель",33,p_ovosh,micro_sprav_subcomponent_exact
1087,"Перец сладкий свежий, кг",0.00266,Продовольственные товары,"Плодоовощная продукция, включая картофель",33,p_ovosh,micro_sprav_subcomponent_exact
508,"Порошок стиральный, кг",0.00342,Непродовольственные товары,Моющие и чистящие средства,25,n_mou_sr,micro_sprav_subcomponent_exact
296,"Конфеты мягкие, глазированные шоколадом, кг",0.00332,Продовольственные товары,Кондитерские изделия,16,p_sweet,micro_sprav_subcomponent_exact
402,"Напитки газированные, л",0.00389,Продовольственные товары,Другие продовольственные товары,53,p_proch,micro_sprav_subcomponent_exact
979,"Кресло мягкое, шт.",0.00377,Непродовольственные товары,Мебель,20,n_mebel,micro_sprav_subcomponent_exact
172,"Водоотведение, м3",0.00325,Услуги,,14,u_gkh,service_name_rule
480,"Платье (платье-костюм) женское из полушерстяных или смесовых тканей, шт.",0.00401,Непродовольственные товары,Одежда и белье,29,n_odegd,micro_sprav_subcomponent_exact
475,"Пиджак, жакет женский из шерстяных, полушерстяных или смесовых тканей, шт.",0.00359,Непродовольственные товары,Одежда и белье,29,n_odegd,micro_sprav_subcomponent_exact
171,"Водка, л",0.0033,Продовольственные товары,Алкогольные напитки,11,p_alco,micro_sprav_subcomponent_exact
426,"Обучение в государственных и муниципальных образовательных организациях высшего профессионального образования, семестр",0.00346,Услуги,,44,u_obr,service_name_rule
