Feature,Horizon,Pearson_r,P_value,Abs_r,N,Significant
reg_shipped_D3,h=2,-0.17402477603326608,0.0640609862410096,0.17402477603326608,114,False
brent_D1,h=2,0.1736502662424403,0.11417309036339689,0.1736502662424403,84,False
prod_L6,h=2,-0.17276661983376299,0.06979093358672854,0.17276661983376299,111,False
reg_construction_L0,h=2,-0.17255040469958957,0.06283481716923298,0.17255040469958957,117,False
reg_construction,h=2,-0.17255040469958957,0.06283481716923298,0.17255040469958957,117,False
reg_income_real_L6,h=2,0.17129076098115315,0.0749292019198051,0.17129076098115315,109,False
reg_wage_L11,h=2,0.17083192703528663,0.07996954376881375,0.17083192703528663,106,False
ibved_q_L4,h=2,-0.16929244830613244,0.14650319656852628,0.16929244830613244,75,False
mom_L9,h=2,0.16897309979380334,0.08043280485204504,0.16897309979380334,108,False
ibved_q_L12,h=2,-0.16702106445043824,0.17672450506792353,0.16702106445043824,67,False
ibved_m_D3,h=2,-0.166734877316931,0.29125828839565077,0.166734877316931,42,False
reg_ppi,h=2,-0.1660755807566056,0.07352725002957891,0.1660755807566056,117,False
reg_ppi_L0,h=2,-0.1660755807566056,0.07352725002957891,0.1660755807566056,117,False
reg_construction_STD3,h=2,-0.16582849271419708,0.07653242634032204,0.16582849271419708,115,False
mom_STD3,h=2,-0.16440597223424094,0.07912848733781505,0.16440597223424094,115,False
usd_MA6,h=2,-0.16439978935623975,0.08325013263640457,0.16439978935623975,112,False
ki_i_D3,h=2,0.16272514193995327,0.08366048606316956,0.16272514193995327,114,False
reg_wage_D1,h=2,0.16263552003113915,0.08110653661692598,0.16263552003113915,116,False
ibved_m_L10,h=2,0.1624336189719425,0.35119069077638454,0.1624336189719425,35,False
usd_L1,h=2,-0.1624007932075107,0.08155220431933412,0.1624007932075107,116,False
brent_D12,h=2,0.16202283788679123,0.16201359408310517,0.16202283788679123,76,False
mom_D6,h=2,0.1612356571336444,0.09091825400392099,0.1612356571336444,111,False
Ruonia_D3,h=2,0.1611545455802396,0.08672873057787125,0.1611545455802396,114,False
reg_wage_D3,h=2,0.16105287645286373,0.08693039512821582,0.16105287645286373,114,False
reg_income_nom_L6,h=2,0.16065866102752926,0.09514765253631097,0.16065866102752926,109,False
ki_MA6,h=2,0.16028158484776575,0.09137970009912981,0.16028158484776575,112,False
reg_agri_prices_L11,h=2,-0.1601025088661979,0.10112886452084706,0.1601025088661979,106,False
reg_shipped,h=2,-0.159877137703851,0.08509443499512864,0.159877137703851,117,False
reg_shipped_L0,h=2,-0.159877137703851,0.08509443499512864,0.159877137703851,117,False
ibved_q_STD3,h=2,0.15980020726162003,0.165062555442536,0.15980020726162003,77,False
brent_L5,h=2,0.1591697954119737,0.11940780504626242,0.1591697954119737,97,False
mom_L2,h=2,-0.1582410703044007,0.0912063762275016,0.1582410703044007,115,False
brent_pct_L7,h=2,0.15811884185661554,0.09898053975716709,0.15811884185661554,110,False
reg_profit_MA6,h=2,-0.15795903066600353,0.09623485021893281,0.15795903066600353,112,False
reg_wage_D6,h=2,0.157942564349232,0.09780278000287222,0.157942564349232,111,False
reg_ind_prod_L8,h=2,0.1575661002269257,0.1017744033432445,0.1575661002269257,109,False
ki_i_D12,h=2,0.15710130796596344,0.1094889301894515,0.15710130796596344,105,False
reg_profit_L5,h=2,0.15666161453802602,0.0990343434527177,0.15666161453802602,112,False
nonprod_D1,h=2,0.1566384433953059,0.0931209729790099,0.1566384433953059,116,False
mom_L0,h=2,0.15631133002167466,0.09238009917773812,0.15631133002167466,117,False
reg_wage_L9,h=2,0.156284857572825,0.10626684203224893,0.156284857572825,108,False
reg_profit,h=2,-0.1555279618961274,0.09404508004135542,0.1555279618961274,117,False
reg_profit_L0,h=2,-0.1555279618961274,0.09404508004135542,0.1555279618961274,117,False
ibved_q_L8,h=2,0.1553775863644661,0.1957103429613241,0.1553775863644661,71,False
ibved_m_STD3,h=2,0.1553443624692583,0.31988252287976204,0.1553443624692583,43,False
ibved_m_D6,h=2,0.15383890802462175,0.34976326804374797,0.15383890802462175,39,False
nonprod_L2,h=2,-0.15370173344103985,0.10100059324510273,0.15370173344103985,115,False
ibved_q_MA6,h=2,0.15316951475162877,0.1926139465305273,0.15316951475162877,74,False
reg_wage_agri_L5,h=2,0.15224903192624575,0.10903764838463685,0.15224903192624575,112,False
brent_pct_D3,h=2,0.15091491331739534,0.10898623315478306,0.15091491331739534,114,False
reg_services_D12,h=2,0.14933500784623555,0.15309564137967593,0.14933500784623555,93,False
reg_ppi_L4,h=2,0.14853316286540919,0.1163927050981111,0.14853316286540919,113,False
Ruonia_L11,h=2,-0.1473916992624652,0.13161973452171136,0.1473916992624652,106,False
brent_D3,h=2,0.14735374975242235,0.1757651044355997,0.14735374975242235,86,False
reg_income_real_L5,h=2,0.1464479985140402,0.1268462958999621,0.1464479985140402,110,False
ibved_q_L7,h=2,0.1447041536220304,0.22522111051465196,0.1447041536220304,72,False
reg_retail_L3,h=2,0.14449592827707705,0.12506574535806406,0.14449592827707705,114,False
reg_income_nom_L5,h=2,0.1427686825169693,0.13677763350870994,0.1427686825169693,110,False
reg_construction_L12,h=2,-0.1421307216382423,0.14808570759855713,0.1421307216382423,105,False
reg_invest_prices_D12,h=2,-0.14161992702966184,0.14956341976470108,0.14161992702966184,105,False
ibved_m_L12,h=2,0.140547204686798,0.4353113973919529,0.140547204686798,33,False
ki_i_D6,h=2,0.14020315585242452,0.14219377792284552,0.14020315585242452,111,False
reg_ppi_L12,h=2,-0.13939481881808377,0.15613012694151976,0.13939481881808377,105,False
Ruonia_D12,h=2,0.13883278098787108,0.15782239861962916,0.13883278098787108,105,False
reg_ind_prod_L2,h=2,0.13863021550755253,0.1395290067164574,0.13863021550755253,115,False
reg_invest_prices_L12,h=2,0.1385304558566998,0.158738330725685,0.1385304558566998,105,False
reg_housing_primary_L8,h=2,0.13816213147499562,0.15584363579390517,0.13816213147499562,107,False
reg_retail_D12,h=2,-0.13721550867288926,0.1627682877836556,0.13721550867288926,105,False
serv_L11,h=2,-0.13677671779160938,0.1620873936253341,0.13677671779160938,106,False
nonprod_L1,h=2,-0.13661032491310848,0.14366753985648498,0.13661032491310848,116,False
ibved_q_L9,h=2,0.13311828265799866,0.27194623617115476,0.13311828265799866,70,False
reg_agri_prices_L8,h=2,0.13284403212757626,0.16849547043127996,0.13284403212757626,109,False
ibved_q_L2,h=2,0.13253582429221425,0.25053447059911377,0.13253582429221425,77,False
reg_housing_primary_L5,h=2,0.13225593790103052,0.16841185460510516,0.13225593790103052,110,False
reg_shipped_MA6,h=2,0.1318886097100448,0.1656911062638624,0.1318886097100448,112,False
brent_pct_L1,h=2,0.13160865236758668,0.15905665838317126,0.13160865236758668,116,False
reg_services,h=2,0.13082555698180728,0.18343891409601312,0.13082555698180728,105,False
reg_services_L0,h=2,0.13082555698180728,0.18343891409601312,0.13082555698180728,105,False
Ruonia_L10,h=2,-0.12973747376205763,0.18289672290745682,0.12973747376205763,107,False
reg_retail_L12,h=2,-0.12962605818803472,0.18752379132895045,0.12962605818803472,105,False
reg_housing_primary_L7,h=2,0.12923194077932104,0.1825359815525746,0.12923194077932104,108,False
mom_L11,h=2,0.12678414360344906,0.19529313851098087,0.12678414360344906,106,False
reg_housing_primary_L9,h=2,0.12540037557992456,0.20025329976308853,0.12540037557992456,106,False
reg_services_D3,h=2,0.12530160028134302,0.20953695210530576,0.12530160028134302,102,False
reg_housing_primary_STD3,h=2,-0.12519277360124506,0.18642630033544103,0.12519277360124506,113,False
brent_pct_L3,h=2,-0.1247939283438548,0.18585923407041335,0.1247939283438548,114,False
mom_L8,h=2,0.12432743662164648,0.19772655156042532,0.12432743662164648,109,False
mom_D12,h=2,0.12421024992014841,0.20679202927000667,0.12421024992014841,105,False
reg_retail_L10,h=2,-0.1238061363436437,0.20390199149073773,0.1238061363436437,107,False
reg_housing_secondary_STD3,h=2,-0.12317666897300268,0.19367529306448905,0.12317666897300268,113,False
reg_shipped_D6,h=2,-0.12247950292654704,0.20032656974522367,0.12247950292654704,111,False
reg_wage_L10,h=2,0.1224043720544044,0.2091094519222433,0.1224043720544044,107,False
reg_housing_secondary_L5,h=2,0.1219396689603227,0.2044246655518059,0.1219396689603227,110,False
reg_wage_agri_MA6,h=2,0.12121580751854755,0.20296961765179625,0.12121580751854755,112,False
prod_L8,h=2,0.12071676420143973,0.21116508120126912,0.12071676420143973,109,False
serv_MA6,h=2,-0.11967099466865166,0.20882868497641863,0.11967099466865166,112,False
reg_retail_D1,h=2,-0.11932778310016715,0.20201023199617651,0.11932778310016715,116,False
prod_L2,h=2,-0.11888511653510171,0.2057041042079874,0.11888511653510171,115,False
ki_i_MA3,h=2,0.11841506522378702,0.20751515131530573,0.11841506522378702,115,False
reg_services_MA3,h=2,0.11825444122758727,0.23417055946318843,0.11825444122758727,103,False
ibved_q_L10,h=2,0.11764094318768753,0.33570064315642734,0.11764094318768753,69,False
reg_wage_agri_L3,h=2,0.11759300632221413,0.2127493444561033,0.11759300632221413,114,False
mom_L1,h=2,-0.1173156678303963,0.20977635224388283,0.1173156678303963,116,False
reg_construction_D6,h=2,-0.11724804219085655,0.2203743454477355,0.11724804219085655,111,False
reg_ppi_L2,h=2,0.11713427647016537,0.21250770690466317,0.11713427647016537,115,False
reg_services_L10,h=2,0.11634404067175437,0.2615278129400621,0.11634404067175437,95,False
reg_agri_prices_L9,h=2,0.11590103963207303,0.23228490271164678,0.11590103963207303,108,False
prod_D12,h=2,0.11579502160454425,0.23947338621854827,0.11579502160454425,105,False
reg_ind_prod_L12,h=2,-0.11534672448585874,0.24130975930903903,0.11534672448585874,105,False
mom_MA6,h=2,-0.11500159555557365,0.22727062334778741,0.11500159555557365,112,False
reg_shipped_MA3,h=2,-0.11489111885913182,0.2214567124483328,0.11489111885913182,115,False
reg_housing_secondary_L6,h=2,0.11483669492303644,0.23442146436162645,0.11483669492303644,109,False
reg_ind_prod_D12,h=2,-0.11480490682500866,0.2435422321820797,0.11480490682500866,105,False
nonprod_MA3,h=2,-0.11363863796777668,0.22656780872820606,0.11363863796777668,115,False
reg_housing_primary_L6,h=2,0.11312993030475796,0.2414947905795964,0.11312993030475796,109,False
brent_pct_L11,h=2,0.11299548446255603,0.24880216946196504,0.11299548446255603,106,False
reg_housing_secondary_L7,h=2,0.11264902925715713,0.24573962038872127,0.11264902925715713,108,False
mom_L3,h=2,-0.11208662126179188,0.23510369972422054,0.11208662126179188,114,False
reg_profit_L12,h=2,-0.11187737522425639,0.2558518316141304,0.11187737522425639,105,False
reg_receivables_STD3,h=2,-0.111402356282667,0.23589888180200086,0.111402356282667,115,False
reg_profit_D6,h=2,-0.11118002876344565,0.2453572947494468,0.11118002876344565,111,False
reg_housing_primary_L4,h=2,0.11116991299430493,0.2454005150710381,0.11116991299430493,111,False
brent_L4,h=2,0.11098843273831714,0.2765961779788481,0.11098843273831714,98,False
reg_profit_L1,h=2,-0.10991832912361883,0.2401552477625102,0.10991832912361883,116,False
reg_shipped_L12,h=2,-0.10960208769222511,0.2657083479599477,0.10960208769222511,105,False
reg_wage_agri_D3,h=2,-0.10936052536336562,0.24675778551596078,0.10936052536336562,114,False
