Feature,Pearson_r,Pearson_p,Spearman_r,Spearman_p,Abs_Pearson,N_obs
mom_L11,0.21819282280081315,0.023959948509354446,0.3528184074914274,0.00019352402333951021,0.21819282280081315,107
reg_unknown20_STD6,0.21725143907024763,0.06116771522383979,0.005889884822730164,0.9600015854835767,0.21725143907024763,75
reg_ind_prod_MA6,-0.2148821784344434,0.022277690623127965,-0.2769506887510054,0.0029817937077198675,0.2148821784344434,113
serv_L8,0.2134507892804796,0.025156759705671456,0.16475779073587837,0.08542701147099441,0.2134507892804796,110
serv_L7,0.21332831233480717,0.02457267228790581,0.21591567348840565,0.022847299429878818,0.21332831233480717,111
reg_profit_STD6,-0.21276445401884428,0.023663977863125706,-0.24442628462982774,0.009078111141888707,0.21276445401884428,113
mom_MA3,0.2119346756936295,0.022377665243960666,0.2824591699326682,0.0021259927162450214,0.2119346756936295,116
prod_D12,0.20484991171209563,0.03516572859475207,0.189924795898117,0.05117635880468433,0.20484991171209563,106
reg_profit_MA3,-0.20119145378516404,0.030339693374537006,-0.22920859869402582,0.013325089088487166,0.20119145378516404,116
prod_L1,0.2008667381607582,0.029888712182154484,0.2798976333780994,0.0022402422744189723,0.2008667381607582,117
brent_D1,0.20026029215766417,0.06611629549549344,0.07044428482173938,0.5217536109912022,0.20026029215766417,85
reg_unknown20_STD3,0.19623808070941978,0.0850818246900399,0.17552438468813886,0.12426353800036967,0.19623808070941978,78
reg_unknown20_D1,-0.19536764203354165,0.0844451454243218,-0.15317578367922483,0.17774715424968038,0.19536764203354165,79
ki_MA6,0.19532735999655115,0.03814558321753727,0.16844108441204303,0.0745195242622203,0.19532735999655115,113
reg_construction_L4,-0.1936016342772185,0.03902827161736871,-0.21249822893766115,0.023216989545730444,0.1936016342772185,114
ki_D3,-0.19309446519521178,0.038678853579120216,0.18195183554863942,0.051633320324824684,0.19309446519521178,115
ki_MA3,0.19287388439803638,0.038047940905947764,0.1939185423355354,0.03699758422600634,0.19287388439803638,116
reg_ind_prod_STD3,0.19028541043676198,0.04075879749118201,0.17007943136279957,0.06795630601548808,0.19028541043676198,116
reg_income_real_L8,0.19009188613180997,0.048779719025057705,-0.042318260172417646,0.6636627801476069,0.19009188613180997,108
usd_D6,-0.1888599898112608,0.046122675808541146,-0.029270168146493823,0.759332921554579,0.1888599898112608,112
reg_ppi_L4,0.1875616468339144,0.045682838258989576,0.25770502164085335,0.005637892176463559,0.1875616468339144,114
brent_pct_MA3,0.18558838740225983,0.04609042081761451,0.013123798604591999,0.888799918270052,0.18558838740225983,116
reg_profit_MA12,-0.1853730563729739,0.05592823782626781,-0.10348670662429509,0.28880233163449887,0.1853730563729739,107
reg_retail_D6,-0.18369864694169347,0.05252486561439603,-0.15736247772401274,0.09751420289138961,0.18369864694169347,112
Ruonia_STD3,0.1836217713811676,0.048488768906075015,0.03488074794852183,0.7100999557974099,0.1836217713811676,116
ki_L1,0.18202735639026937,0.04950345213395912,0.19037077967818933,0.039791427865185726,0.18202735639026937,117
reg_unknown20_D6,0.17971473253839887,0.12548572982267706,0.036540722114027056,0.757255382526969,0.17971473253839887,74
reg_ind_prod_L6,0.17962443482912668,0.05808119796941941,0.2608398503816713,0.0054735214168030654,0.17962443482912668,112
prod_L6,-0.17939212303075264,0.058412010198427136,-0.251028930694188,0.007591267035819439,0.17939212303075264,112
reg_ind_prod_D6,-0.17809629236512375,0.06028570581731561,-0.30903110948388596,0.0009153552144699593,0.17809629236512375,112
usd_D3,-0.1777303088787251,0.05739608034013775,-0.10704483802203793,0.25484381119396987,0.1777303088787251,115
reg_wage_agri_L5,0.17771206872435116,0.05968420267500982,-0.015931772736820612,0.8669887133728945,0.17771206872435116,113
