Date,Year,Month,basket_weight,freeze_weight,freeze_items,total_items,FDI_weighted_pct,FDI_simple_pct,Active_base_pct,Avg_abs_MoM_pct,Headline_MoM,Included_MoM,Implied_active_MoM
2019-04-01,2019,4,0.8644499999999992,0.2004199999999998,110,412,23.184683903059746,26.699029126213592,76.81531609694025,1.2571591361328014,100.59,100.49273495652727,100.7680759905426
2019-05-01,2019,5,0.8644499999999992,0.2033999999999998,108,412,23.52941176470588,26.21359223300971,76.47058823529412,1.6874282404766046,100.53,100.40335850253919,100.69307692307693
2019-06-01,2019,6,0.8644499999999992,0.2664399999999997,143,412,30.821909884897902,34.70873786407767,69.1780901151021,1.5962471460928922,99.589996,99.50597438204639,99.40732101837762
2019-07-01,2019,7,0.8644499999999992,0.16773999999999992,115,412,19.40424547400082,27.9126213592233,80.59575452599918,1.402374175822777,99.919998,99.8409914323674,99.90073670695125
2019-08-01,2019,8,0.8644499999999992,0.2190299999999997,120,412,25.33749783099079,29.126213592233007,74.6625021690092,1.7126541861299092,99.830002,99.79955311330905,99.77231140792041
2019-09-01,2019,9,0.8644499999999992,0.2360099999999997,133,412,27.30175255943084,32.28155339805826,72.69824744056916,1.070785079599746,99.68,100.02247444958066,99.55982432690473
2019-10-01,2019,10,0.8644499999999992,0.2279199999999998,116,412,26.365897391404943,28.155339805825243,73.63410260859506,1.2512583626814735,100.3,100.41449951805194,100.40741991736445
2019-11-01,2019,11,0.8644499999999992,0.2067899999999997,114,412,23.921568627450966,27.669902912621357,76.07843137254903,1.450441820903465,100.39,100.5231670633582,100.51262886597938
2019-12-01,2019,12,0.8644499999999992,0.3047099999999997,169,412,35.24900225576956,41.019417475728154,64.75099774423043,1.5327053830065362,100.41,100.67229224554342,100.63319487619252
2020-01-01,2020,1,0.8872499999999992,0.2846599999999995,159,425,32.083403775711446,37.411764705882355,67.91659622428855,1.220466237644408,100.5,100.65514627292195,100.73619708259348
2020-02-01,2020,2,0.8872499999999992,0.2159099999999998,119,425,24.334742180896026,28.000000000000004,75.66525781910397,1.1548579626937168,100.4,100.38221817142858,100.52864420412907
2020-03-01,2020,3,0.8872499999999992,0.2471799999999995,129,425,27.8591152437306,30.352941176470587,72.1408847562694,1.4695044770245136,100.67,100.70688391407157,100.92873826300249
2020-04-01,2020,4,0.8872499999999992,0.3479899999999994,204,425,39.221189067342884,48.0,60.778810932657116,2.4843171306734306,101.3,101.31815586408565,102.138903311946
2020-05-01,2020,5,0.8872499999999992,0.2794399999999995,158,425,31.495069033530548,37.1764705882353,68.50493096646946,1.3459241276754024,100.12,100.17735814902225,100.175169872164
2020-06-01,2020,6,0.8872499999999992,0.2733799999999995,143,425,30.812059735136632,33.64705882352941,69.18794026486337,1.4904154143815171,100.01,100.06696751038602,100.01445338589605
2020-07-01,2020,7,0.8872499999999992,0.1893399999999997,112,425,21.34009580163425,26.35294117647059,78.65990419836575,1.5092132645477605,99.849998,99.89773967994364,99.80930309853706
2020-08-01,2020,8,0.8872499999999992,0.1943899999999998,109,425,21.909270216962522,25.647058823529413,78.09072978303747,1.2645367831389123,100.11,100.06802292382079,100.14086179026066
2020-09-01,2020,9,0.8872499999999992,0.2365899999999996,114,425,26.665539588616493,26.823529411764707,73.3344604113835,1.1799819432628913,100.13,100.3364761012567,100.17727000276642
2020-10-01,2020,10,0.8872499999999992,0.2345999999999995,109,425,26.44125105663564,25.647058823529413,73.55874894336436,1.019444339847845,100.5,100.51146712817132,100.67972879797748
2020-11-01,2020,11,0.8872499999999992,0.2353699999999996,122,425,26.528036066497584,28.705882352941174,73.47196393350242,1.5354962159256136,100.78,101.03652339523246,101.06162944100141
