Item_code,Item_name,Component,Subcomponent,Avg_weight,Observations,Freeze_months,PSI_pct,Weighted_PSI_pct,Mean_MoM,Mean_abs_MoM_pct,Freeze_spell_count,Max_freeze_spell,Avg_freeze_spell,Weighted_abs_MoM_pct,Avg_thaw_abs_move_pct,Is_education
524,"Продукция предприятий общественного питания быстрого обслуживания (сэндвич типа ""Гамбургер""), шт.",Продовольственные товары,Общественное питание,0.001757627118644068,118,58,49.152542372881356,47.10703953712632,100.67593214406781,0.7049153135593225,24,11,2.4166666666666665,0.0013354881939830513,1.315217391304349,False
331,"Куртка мужская из натуральной кожи, шт.",Непродовольственные товары,Одежда и белье,0.0012605084745762713,118,58,49.152542372881356,55.42557482855991,100.33864399152542,0.39016956779661016,16,14,3.625,0.00044744585644067796,0.8781251875000011,False
565,"Санаторий, день",Услуги,,0.0011664406779661016,118,57,48.30508474576271,44.877942458587626,100.5725424661017,1.8089829576271181,32,6,1.78125,0.002326762593050847,3.773124781249999,False
119,"Аренда однокомнатной квартиры у частных лиц, месяц",Услуги,,0.00193271186440678,118,55,46.61016949152542,37.735683592037184,100.63440673728815,0.7486441101694918,23,18,2.391304347826087,0.001857984940508475,1.443181727272728,False
375,"Мойка легкового автомобиля, услуга",Услуги,,0.0033260377358490566,106,49,46.22641509433962,47.33095076015429,100.91688679245286,0.9168867924528306,16,15,3.0625,0.0033075188679245297,2.973333333333333,False
342,"Лечение кариеса, пломба",Услуги,,0.001803389830508475,118,54,45.76271186440678,45.97274436090225,100.6675423220339,0.7019492033898304,21,9,2.5714285714285716,0.001099726329152542,2.121,False
486,"Плиты древесностружечные, ориентированно-стружечные, м2",Непродовольственные товары,Строительные материалы,0.0007066101694915251,118,53,44.91525423728814,38.09066922523389,100.5091525677966,1.2291525169491528,19,14,2.789473684210526,0.0009415211386440675,1.6238890555555545,False
303,"Корригирующие очки, шт.",Непродовольственные товары,Медицинские товары,0.0006720338983050847,118,53,44.91525423728814,41.437578814628,100.3519490762712,0.7292373644067791,23,11,2.3043478260869565,0.0004922009079661013,1.4078263043478247,False
554,"Рубероид, 10 м",Непродовольственные товары,Строительные материалы,0.00018881355932203397,118,53,44.91525423728814,46.67863554757628,100.55076265254236,0.989576330508475,22,11,2.409090909090909,0.00016610933711864412,1.1145455909090929,False
479,"Плата за пользование потребительским кредитом (процентная ставка в стоимостном выражении), руб.",Услуги,,0.005995084745762705,118,52,44.06779661016949,43.29818212660088,100.30720349999997,2.2951692118644065,22,10,2.3636363636363638,0.01229635422194914,3.786363136363636,False
541,"Регулировка развала-схождения колес легкового автомобиля, один вид работы",Услуги,,0.0024683050847457626,118,52,44.06779661016949,42.995948636956676,100.59847457627119,0.5984745762711866,14,24,3.7142857142857144,0.0014885042372881358,1.4692857142857139,False
117,"Аренда двухкомнатной квартиры у частных лиц, месяц",Услуги,,0.0024415254237288146,118,52,44.06779661016949,36.47344671988891,100.59805097457628,0.9009320762711868,28,9,1.8571428571428572,0.0026516893909322046,1.8588885555555552,False
345,"Линолеум, м2",Непродовольственные товары,Строительные материалы,0.0004022033898304984,118,52,44.06779661016949,40.16013485040029,100.57177961864407,0.5939830932203387,30,6,1.7333333333333334,0.0002475500334745703,1.2493103103448269,False
346,"Лопата садовая, шт.",Непродовольственные товары,Другие непродовольственные товары,0.00025525423728813554,118,52,44.06779661016949,42.79548472775566,100.74279652542374,1.0499153389830507,24,10,2.1666666666666665,0.0002667763039830509,1.9675003750000013,False
636,"Ткани декоративные для изготовления штор и занавесей, м",Непродовольственные товары,Другие непродовольственные товары,0.0012603389830508382,118,50,42.3728813559322,38.62963959117786,100.46949155084748,0.6010169237288131,19,16,2.6315789473684212,0.000592932159406767,1.5905555555555553,False
634,"Тетрадь школьная, шт.",Непродовольственные товары,Другие непродовольственные товары,0.0007018644067796608,118,50,42.3728813559322,40.11108427915964,100.85084750000001,1.3515253813559325,21,7,2.380952380952381,0.0010663813077966102,3.0809996000000006,False
198,"Годовая стоимость полиса добровольного страхования легкового автомобиля от стандартных рисков (КАСКО), полис",Услуги,,0.002331186440677966,118,49,41.52542372881356,45.39406718045658,100.62533906779662,1.9346609322033896,24,6,2.0416666666666665,0.0036113591179661015,3.3834780434782603,False
213,"Доска обрезная, м3",Непродовольственные товары,Строительные материалы,0.000819830508474576,118,49,41.52542372881356,24.384949348769904,100.49279661864405,1.1173728728813557,20,14,2.45,0.0011137584876271189,1.198500100000001,False
124,"Батарейки электрические типа АА, шт.",Непродовольственные товары,Электротовары и другие бытовые приборы,0.00028694915254237293,118,47,39.83050847457627,43.532191376255156,100.45067790677967,1.7016949745762708,22,13,2.1363636363636362,0.00047699746762711856,3.286363636363636,False
642,"Ткань платьевая из искусственного или синтетического шелка, м",Непродовольственные товары,Другие непродовольственные товары,0.0001479661016949153,118,47,39.83050847457627,37.45704467353951,100.7738981779661,0.8113560593220337,24,5,1.9583333333333333,0.0001276856026271186,1.4545837916666666,False
1006,"Проживание в гостинице 3*, сутки с человека",Услуги,,0.0005782758620689447,58,23,39.6551724137931,38.819320214669254,100.94241394827587,2.0431032931034485,9,4,2.5555555555555554,0.0012150826699999576,3.8588888888888895,False
573,"Свежесрезанные цветы, шт.",Непродовольственные товары,Другие непродовольственные товары,0.0019145762711864408,118,46,38.983050847457626,33.905807365439095,100.89491505932205,1.4640679915254247,19,7,2.4210526315789473,0.00269667667381356,2.637894631578947,False
156,"Велосипед дорожный для взрослых, шт.",Непродовольственные товары,Другие непродовольственные товары,0.0004647457627118645,118,46,38.983050847457626,31.455142231947463,100.30830512711863,1.2030508050847457,21,8,2.1904761904761907,0.0005835736950847455,2.2979996000000007,False
641,"Ткань костюмная шерстяная и полушерстяная, м",Непродовольственные товары,Другие непродовольственные товары,0.00017830508474576268,118,46,38.983050847457626,42.06273764258556,100.3322034322034,0.4577965677966101,22,7,2.090909090909091,7.093728584745762e-05,1.0033330952380948,False
