Date,Horizon,Model,Actual,Prediction,Error,AbsError,KPI_Hit
2023-11-01,2,Ridge,0.7399999999999949,1.255130054359185,-0.5151300543591901,0.5151300543591901,False
2023-11-01,2,Ridge_Ext,0.7399999999999949,,,,
2023-11-01,2,Bayes_Ridge,0.7399999999999949,,,,
2023-11-01,2,ElasticNet,0.7399999999999949,,,,
2023-11-01,2,Huber,0.7399999999999949,,,,
2023-11-01,2,Ridge_Shock,0.7399999999999949,,,,
2023-11-01,2,EBM,0.7399999999999949,0.5872727272727332,0.15272727272726172,0.15272727272726172,True
2023-11-01,2,LightGBM,0.7399999999999949,1.9502160786140905,-1.2102160786140956,1.2102160786140956,False
2023-11-01,2,Prophet,0.7399999999999949,0.764181964495355,-0.024181964495360142,0.024181964495360142,True
2023-11-01,2,ETS,0.7399999999999949,0.9267749860622466,-0.18677498606225174,0.18677498606225174,True
2023-11-01,2,SARIMA,0.7399999999999949,0.7538029570767969,-0.013802957076802014,0.013802957076802014,True
2023-11-01,2,NGBoost,0.7399999999999949,1.8309426211931452,-1.0909426211931503,1.0909426211931503,False
2023-11-01,2,CatBoost,0.7399999999999949,0.4951736811593008,0.24482631884069406,0.24482631884069406,True
2023-11-01,2,Subcomp,0.7399999999999949,,,,
2023-11-01,2,Subcomp_Multi,0.7399999999999949,,,,
2023-11-01,2,Micro,0.7399999999999949,,,,
2023-11-01,12,Ridge,0.7399999999999949,0.3297428646771152,0.41025713532287966,0.41025713532287966,True
2023-11-01,12,Ridge_Ext,0.7399999999999949,,,,
2023-11-01,12,Bayes_Ridge,0.7399999999999949,,,,
2023-11-01,12,ElasticNet,0.7399999999999949,,,,
2023-11-01,12,Huber,0.7399999999999949,,,,
2023-11-01,12,Ridge_Shock,0.7399999999999949,,,,
2023-11-01,12,EBM,0.7399999999999949,0.5872727272727332,0.15272727272726172,0.15272727272726172,True
2023-11-01,12,LightGBM,0.7399999999999949,0.612501012654306,0.12749898734568887,0.12749898734568887,True
2023-11-01,12,Prophet,0.7399999999999949,0.9694047267111443,-0.22940472671114942,0.22940472671114942,True
2023-11-01,12,ETS,0.7399999999999949,0.4716268480582022,0.2683731519417927,0.2683731519417927,True
2023-11-01,12,SARIMA,0.7399999999999949,0.08102203086087736,0.6589779691391175,0.6589779691391175,False
2023-11-01,12,NGBoost,0.7399999999999949,0.28890971076924643,0.45109028923074845,0.45109028923074845,True
2023-11-01,12,CatBoost,0.7399999999999949,0.4017296206856571,0.3382703793143378,0.3382703793143378,True
2023-11-01,12,Subcomp,0.7399999999999949,,,,
2023-11-01,12,Subcomp_Multi,0.7399999999999949,,,,
2023-11-01,12,Micro,0.7399999999999949,,,,
2023-12-01,1,Ridge,0.29000000000000625,0.5489190987908472,-0.25891909879084096,0.25891909879084096,True
2023-12-01,1,Ridge_Ext,0.29000000000000625,,,,
2023-12-01,1,Bayes_Ridge,0.29000000000000625,,,,
2023-12-01,1,ElasticNet,0.29000000000000625,,,,
2023-12-01,1,Huber,0.29000000000000625,,,,
2023-12-01,1,Ridge_Shock,0.29000000000000625,,,,
2023-12-01,1,EBM,0.29000000000000625,0.7990909090909071,-0.5090909090909008,0.5090909090909008,False
2023-12-01,1,LightGBM,0.29000000000000625,0.5643729273139257,-0.2743729273139195,0.2743729273139195,True
2023-12-01,1,Prophet,0.29000000000000625,0.928007237911255,-0.6380072379112487,0.6380072379112487,False
2023-12-01,1,ETS,0.29000000000000625,1.0140806133071818,-0.7240806133071755,0.7240806133071755,False
2023-12-01,1,SARIMA,0.29000000000000625,0.5523252945670577,-0.26232529456705145,0.26232529456705145,True
2023-12-01,1,NGBoost,0.29000000000000625,0.45191179190015873,-0.16191179190015248,0.16191179190015248,True
2023-12-01,1,CatBoost,0.29000000000000625,0.6017315997838892,-0.311731599783883,0.311731599783883,True
2023-12-01,1,Subcomp,0.29000000000000625,,,,
2023-12-01,1,Subcomp_Multi,0.29000000000000625,,,,
2023-12-01,1,Micro,0.29000000000000625,,,,
2023-12-01,2,Ridge,0.29000000000000625,0.7694748310635475,-0.4794748310635413,0.4794748310635413,True
2023-12-01,2,Ridge_Ext,0.29000000000000625,,,,
2023-12-01,2,Bayes_Ridge,0.29000000000000625,,,,
2023-12-01,2,ElasticNet,0.29000000000000625,,,,
2023-12-01,2,Huber,0.29000000000000625,,,,
2023-12-01,2,Ridge_Shock,0.29000000000000625,,,,
2023-12-01,2,EBM,0.29000000000000625,0.7990909090909071,-0.5090909090909008,0.5090909090909008,False
2023-12-01,2,LightGBM,0.29000000000000625,0.5359934397463206,-0.24599343974631438,0.24599343974631438,True
2023-12-01,2,Prophet,0.29000000000000625,0.9194833401758883,-0.629483340175882,0.629483340175882,False
2023-12-01,2,ETS,0.29000000000000625,1.0222557032593174,-0.7322557032593111,0.7322557032593111,False
2023-12-01,2,SARIMA,0.29000000000000625,0.2509575608913924,0.03904243910861388,0.03904243910861388,True
2023-12-01,2,NGBoost,0.29000000000000625,0.6246769048456997,-0.33467690484569346,0.33467690484569346,True
2023-12-01,2,CatBoost,0.29000000000000625,0.5032547770548348,-0.21325477705482854,0.21325477705482854,True
2023-12-01,2,Subcomp,0.29000000000000625,,,,
2023-12-01,2,Subcomp_Multi,0.29000000000000625,,,,
2023-12-01,2,Micro,0.29000000000000625,,,,
2023-12-01,12,Ridge,0.29000000000000625,0.2144664013469253,0.07553359865308096,0.07553359865308096,True
2023-12-01,12,Ridge_Ext,0.29000000000000625,,,,
2023-12-01,12,Bayes_Ridge,0.29000000000000625,,,,
2023-12-01,12,ElasticNet,0.29000000000000625,,,,
2023-12-01,12,Huber,0.29000000000000625,,,,
