date,actual,prediction,error,baseline_pred,baseline_error,year
2022-02-01,0.9399999999999977,0.8231245185800162,-0.1168754814199815,0.7713064487154374,-0.16869355128456032,2022
2022-03-01,5.549999999999997,1.401365850747169,-4.148634149252828,0.8850002617829714,-4.664999738217026,2022
2022-04-01,3.280000000000001,1.2930530061126149,-1.9869469938873863,2.1543775963745446,-1.1256224036254565,2022
2022-05-01,0.6800000000000068,0.5948613603573278,-0.08513863964267898,1.8636413277296218,1.183641327729615,2022
2022-06-01,-0.6800000000000068,-0.04318382365791251,0.6368161763420943,0.2706429628466363,0.9506429628466431,2022
2022-07-01,-0.769999999999996,-0.08203641274205609,0.6879635872579399,-0.2509977329157399,0.5190022670842561,2022
2022-08-01,-0.5699999999999932,-0.288610172625809,0.28138982737418416,-0.2946609968162429,0.27533900318375026,2022
2022-09-01,0.3299999999999983,0.3251646493162781,-0.004835350683720208,0.5762320966065857,0.2462320966065874,2022
2022-10-01,0.6599999999999966,0.6446015302403794,-0.015398469759617228,0.7317814709059058,0.07178147090590925,2022
2022-11-01,0.2600000000000051,0.7546847079152172,0.49468470791521213,0.7415558444336626,0.4815558444336575,2022
2022-12-01,0.5699999999999932,0.8409914840762696,0.2709914840762764,0.5389315041201987,-0.031068495879794433,2022
2023-01-01,1.1299999999999955,0.9373456262346309,-0.19265437376536454,0.4395285045422895,-0.690471495457706,2023
2023-02-01,0.75,0.9459467814490665,0.19594678144906652,0.7404796218549691,-0.009520378145030928,2023
2023-03-01,0.39000000000000057,0.5677507350064985,0.17775073500649796,0.8301494570503244,0.4401494570503238,2023
2023-04-01,0.7199999999999989,0.8134003614389371,0.09340036143893826,0.49878257513101365,-0.2212174248689852,2023
2023-05-01,-0.25,0.07966832369990584,0.32966832369990584,0.36045560133073773,0.6104556013307377,2023
2023-06-01,0.4300000000000068,0.3148405228301101,-0.11515947716989672,0.023875629376264376,-0.40612437062374246,2023
2023-07-01,0.5,0.4984678697495184,-0.0015321302504816003,0.10916560401122309,-0.3908343959887769,2023
2023-08-01,-0.06999999999999318,-0.07737556511227695,-0.007375565112283766,0.26031458136550384,0.330314581365497,2023
2023-09-01,1.75,0.8289779902367655,-0.9210220097632345,0.12020795208756291,-1.629792047912437,2023
2023-10-01,0.45999999999999375,0.6160654618489616,0.15606546184896786,0.7753393129210139,0.31533931292102013,2023
2023-11-01,0.7399999999999949,0.6428893699998497,-0.09711063000014519,0.6949778825345598,-0.04502211746543505,2023
2023-12-01,0.29000000000000625,0.8410592403826627,0.5510592403826564,0.7487571808584377,0.4587571808584314,2023
2024-01-01,0.8700000000000045,0.7482539229833094,-0.12174607701669515,0.6498463916973991,-0.22015360830260544,2024
2024-02-01,0.5300000000000011,0.6706866983673905,0.14068669836738934,0.6439438051975368,0.11394380519753566,2024
