Date,Model,MAE_h1,MAE_h2,MAE_h12,KPI_Rate,SIRENA_Score,Window_Size
2024-04-01,EBM,0.3960985523989879,0.3960985523989879,0.3960985523989879,0.08333333333333333,0.7591888920980602,12
2024-04-01,LightGBM,0.43840021699902465,0.39258782430253686,0.3008679058362442,0.08333333333333333,0.7612042375019176,12
2024-04-01,Prophet,0.42860034988985385,0.39766445687868873,0.5794837484762332,0.08333333333333333,0.8615345015989121,12
2024-04-01,ETS,0.4725768045350652,0.5063450005937963,0.45662745243242275,0.08333333333333333,0.9190750031199657,12
2024-04-01,SARIMA,0.48750321997573903,0.35017863990705017,0.5058692043941201,0.08333333333333333,0.8624598321077165,12
2024-04-01,NGBoost,0.3312909554471659,0.4408724725597845,0.38700297762046887,0.08333333333333333,0.7193399787799233,12
2024-04-01,CatBoost,0.39108834723862645,0.34195794816924163,0.341764377560627,0.08333333333333333,0.7024284976992381,12
2024-04-01,Subcomp,1.0,1.0,1.0,0.0,2.0,0
2024-04-01,Subcomp_Multi,1.0,1.0,1.0,0.0,2.0,0
2024-04-01,Micro,1.0,1.0,1.0,0.0,2.0,0
2024-05-01,Ridge,0.32187129470202674,0.37672444481994444,0.41257522208207575,0.08333333333333333,0.6832303816590395,12
2024-05-01,Ridge_Ext,1.0,1.0,1.0,0.0,2.0,0
2024-05-01,Bayes_Ridge,1.0,1.0,1.0,0.0,2.0,0
2024-05-01,ElasticNet,1.0,1.0,1.0,0.0,2.0,0
2024-05-01,Huber,1.0,1.0,1.0,0.0,2.0,0
2024-05-01,Ridge_Shock,1.0,1.0,1.0,0.0,2.0,0
2024-05-01,EBM,0.36952026957070316,0.36952026957070316,0.36952026957070316,0.08333333333333333,0.7082471833438477,12
2024-05-01,LightGBM,0.4162378942174764,0.3779531890431116,0.2707401962442688,0.08333333333333333,0.7200014742185071,12
2024-05-01,Prophet,0.4338585747990074,0.41309750837965215,0.5695834839546595,0.08333333333333333,0.8716525370166349,12
2024-05-01,ETS,0.4968253821332756,0.5221871560334456,0.36411291403474877,0.08333333333333333,0.915958556310274,12
2024-05-01,SARIMA,0.5238247912505373,0.4154769090017367,0.5493950760145224,0.08333333333333333,0.9514994267633304,12
2024-05-01,NGBoost,0.30570527116730517,0.41683132907128123,0.358551246792531,0.08333333333333333,0.6700902103551244,12
2024-05-01,CatBoost,0.3850980463194536,0.34811324872013216,0.3273299797057246,0.08333333333333333,0.6946939046240801,12
2024-05-01,Subcomp,1.0,1.0,1.0,0.0,2.0,0
2024-05-01,Subcomp_Multi,1.0,1.0,1.0,0.0,2.0,0
2024-05-01,Micro,1.0,1.0,1.0,0.0,2.0,0
2024-06-01,Ridge,0.29812093662327754,0.35745267160724836,0.3679158124810111,0.08333333333333333,0.6322689118891963,12
2024-06-01,Ridge_Ext,1.0,1.0,1.0,0.0,2.0,0
2024-06-01,Bayes_Ridge,1.0,1.0,1.0,0.0,2.0,0
2024-06-01,ElasticNet,1.0,1.0,1.0,0.0,2.0,0
2024-06-01,Huber,1.0,1.0,1.0,0.0,2.0,0
2024-06-01,Ridge_Shock,1.0,1.0,1.0,0.0,2.0,0
2024-06-01,EBM,0.3465720347222205,0.3465720347222205,0.3465720347222205,0.08333333333333333,0.6642630665509227,12
2024-06-01,LightGBM,0.42517031816934053,0.3743278480997046,0.27053832659452937,0.08333333333333333,0.7263997594308511,12
2024-06-01,Prophet,0.3909233556147255,0.40243390324704675,0.5413662646999934,0.08333333333333333,0.813558111632828,12
2024-06-01,ETS,0.44836851364470504,0.5046837549859546,0.36028688360105154,0.08333333333333333,0.857989623406836,12
2024-06-01,SARIMA,0.49736576224994894,0.37185148874944624,0.5019759067438773,0.08333333333333333,0.8828808924389523,12
2024-06-01,NGBoost,0.2736720520304772,0.39587741120018666,0.33382996189579117,0.08333333333333333,0.6178667133627013,12
2024-06-01,CatBoost,0.38785826264121087,0.3379955541979858,0.33128368044362233,0.08333333333333333,0.6930370228650574,12
2024-06-01,Subcomp,1.0,1.0,1.0,0.0,2.0,0
2024-06-01,Subcomp_Multi,1.0,1.0,1.0,0.0,2.0,0
2024-06-01,Micro,1.0,1.0,1.0,0.0,2.0,0
2024-07-01,Ridge,0.35487389361266014,0.3847355605822642,0.31167171565014584,0.08333333333333333,0.6807845863794905,12
2024-07-01,Ridge_Ext,1.0,1.0,1.0,0.0,2.0,0
2024-07-01,Bayes_Ridge,1.0,1.0,1.0,0.0,2.0,0
2024-07-01,ElasticNet,1.0,1.0,1.0,0.0,2.0,0
2024-07-01,Huber,1.0,1.0,1.0,0.0,2.0,0
2024-07-01,Ridge_Shock,1.0,1.0,1.0,0.0,2.0,0
2024-07-01,EBM,0.3923043547979776,0.3923043547979776,0.3923043547979776,0.08333333333333333,0.7519166800294571,12
2024-07-01,LightGBM,0.47750704938840727,0.4589084928579723,0.2760764523702761,0.08333333333333333,0.8273126124658302,12
2024-07-01,Prophet,0.4254536657835059,0.4141621638782404,0.5967481209649099,0.08333333333333333,0.8746231203090636,12
2024-07-01,ETS,0.48278183337632363,0.5241464464224707,0.44066265346096306,0.08333333333333333,0.9329708141719333,12
2024-07-01,SARIMA,0.5488570799155958,0.3497507081749635,0.5195058679797404,0.08333333333333333,0.9262386081786173,12
2024-07-01,NGBoost,0.3265384671866454,0.4356344237745624,0.3328379264981045,0.08333333333333333,0.6910103632151819,12
2024-07-01,CatBoost,0.42959024146878616,0.37263127374510435,0.3768612068590625,0.08333333333333333,0.7704170931069958,12
2024-07-01,Subcomp,1.0,1.0,1.0,0.0,2.0,0
2024-07-01,Subcomp_Multi,1.0,1.0,1.0,0.0,2.0,0
2024-07-01,Micro,1.0,1.0,1.0,0.0,2.0,0
2024-08-01,Ridge,0.33627067055295373,0.38470790144775674,0.3061299513661299,0.08333333333333333,0.6608162506360573,12
2024-08-01,Ridge_Ext,1.0,1.0,1.0,0.0,2.0,0
2024-08-01,Bayes_Ridge,1.0,1.0,1.0,0.0,2.0,0
2024-08-01,ElasticNet,1.0,1.0,1.0,0.0,2.0,0
2024-08-01,Huber,1.0,1.0,1.0,0.0,2.0,0
2024-08-01,Ridge_Shock,1.0,1.0,1.0,0.0,2.0,0
2024-08-01,EBM,0.39431193055555386,0.39431193055555386,0.39431193055555386,0.08333333333333333,0.7557645335648115,12
2024-08-01,LightGBM,0.44690160321948014,0.438080920840837,0.2894741197619872,0.08333333333333333,0.7911423118109114,12
2024-08-01,Prophet,0.42323336813811246,0.42492302565564755,0.5273307884926678,0.08333333333333333,0.8520728531398778,12
2024-08-01,ETS,0.48778039134031576,0.5270892863154181,0.4419549788461506,0.08333333333333333,0.9399486232235258,12
2024-08-01,SARIMA,0.5584656894678998,0.3383361428026648,0.5183022981957005,0.08333333333333333,0.928422115493288,12
2024-08-01,NGBoost,0.30126059144203526,0.41913680274717774,0.32317066508147124,0.08333333333333333,0.6535938166594751,12
2024-08-01,CatBoost,0.38813115011822913,0.3633834131414133,0.38285392550965963,0.08333333333333333,0.7276651528649851,12
2024-08-01,Subcomp,1.0,1.0,1.0,0.0,2.0,0
2024-08-01,Subcomp_Multi,1.0,1.0,1.0,0.0,2.0,0
2024-08-01,Micro,1.0,1.0,1.0,0.0,2.0,0
2024-09-01,Ridge,0.23220141932784108,0.2817156104521305,0.19821326802197822,0.08333333333333333,0.46049458894091444,12
2024-09-01,Ridge_Ext,1.0,1.0,1.0,0.0,2.0,0
2024-09-01,Bayes_Ridge,1.0,1.0,1.0,0.0,2.0,0
2024-09-01,ElasticNet,1.0,1.0,1.0,0.0,2.0,0
2024-09-01,Huber,1.0,1.0,1.0,0.0,2.0,0
2024-09-01,Ridge_Shock,1.0,1.0,1.0,0.0,2.0,0
2024-09-01,EBM,0.2902399614898978,0.2902399614898978,0.2902399614898978,0.08333333333333333,0.5562932595223041,12
2024-09-01,LightGBM,0.3867063142708768,0.3629734829628788,0.34325843897890823,0.08333333333333333,0.7108857054884938,12
2024-09-01,Prophet,0.33219393261217584,0.32879200717363616,0.4695303028076974,0.08333333333333333,0.68739453895446,12
2024-09-01,ETS,0.38385485742840514,0.4246963022801959,0.3555656533107094,0.08333333333333333,0.7483614459491061,12
2024-09-01,SARIMA,0.4329604880898658,0.23258651782849538,0.4002134146498977,0.08333333333333333,0.7020728577866338,12
2024-09-01,NGBoost,0.20103297256210814,0.3165278418216862,0.21300910497131773,0.08333333333333333,0.4563135979918283,12
2024-09-01,CatBoost,0.3093928369544325,0.2456767663202323,0.2753623817993199,0.08333333333333333,0.5433211890718707,12
2024-09-01,Subcomp,1.0,1.0,1.0,0.0,2.0,0
2024-09-01,Subcomp_Multi,1.0,1.0,1.0,0.0,2.0,0
2024-09-01,Micro,1.0,1.0,1.0,0.0,2.0,0
2024-10-01,Ridge,0.256279706486018,0.3100628906029854,0.227576612492026,0.08333333333333333,0.5111252489344271,12
2024-10-01,Ridge_Ext,1.0,1.0,1.0,0.0,2.0,0
2024-10-01,Bayes_Ridge,1.0,1.0,1.0,0.0,2.0,0
2024-10-01,ElasticNet,1.0,1.0,1.0,0.0,2.0,0
2024-10-01,Huber,1.0,1.0,1.0,0.0,2.0,0
2024-10-01,Ridge_Shock,1.0,1.0,1.0,0.0,2.0,0
2024-10-01,EBM,0.3189015776515139,0.3189015776515139,0.3189015776515139,0.08333333333333333,0.6112280238320683,12
2024-10-01,LightGBM,0.33256165016999023,0.40190276282000664,0.39921296735078116,0.08333333333333333,0.7028306408522105,12
2024-10-01,Prophet,0.3527075429679925,0.36233210318177195,0.4663822665973993,0.08333333333333333,0.7251322235361815,12
2024-10-01,ETS,0.37397348050127416,0.44631343236414994,0.3690072285323498,0.08333333333333333,0.7564742466938413,12
2024-10-01,SARIMA,0.4317417761968512,0.2779637368250662,0.45625174899086973,0.08333333333333333,0.748478187976229,12
2024-10-01,NGBoost,0.22389738202546994,0.3489340738956699,0.24425753564178976,0.08333333333333333,0.5088374722604383,12
2024-10-01,CatBoost,0.3063368208990802,0.29455242162201617,0.2911608234412988,0.08333333333333333,0.5745520781134423,12
2024-10-01,Subcomp,1.0,1.0,1.0,0.0,2.0,0
2024-10-01,Subcomp_Multi,1.0,1.0,1.0,0.0,2.0,0
2024-10-01,Micro,1.0,1.0,1.0,0.0,2.0,0
2024-11-01,Ridge,0.3005975925507798,0.34554666825253005,0.2908582437926661,0.08333333333333333,0.5982576872268909,12
2024-11-01,Ridge_Ext,1.0,1.0,1.0,0.0,2.0,0
2024-11-01,Bayes_Ridge,1.0,1.0,1.0,0.0,2.0,0
2024-11-01,ElasticNet,1.0,1.0,1.0,0.0,2.0,0
2024-11-01,Huber,1.0,1.0,1.0,0.0,2.0,0
2024-11-01,Ridge_Shock,1.0,1.0,1.0,0.0,2.0,0
2024-11-01,EBM,0.38117430492424137,0.38117430492424137,0.38117430492424137,0.08333333333333333,0.7305840844381293,12
2024-11-01,LightGBM,0.34110838985032405,0.4047399378674316,0.49793418806106376,0.08333333333333333,0.7504957766370749,12
2024-11-01,Prophet,0.41256714798513733,0.42172704222449536,0.5096957368767736,0.08333333333333333,0.8332532652342713,12
2024-11-01,ETS,0.42941734946072113,0.4958773590097998,0.40856030356963835,0.08333333333333333,0.8532692243655208,12
2024-11-01,SARIMA,0.4566236078281038,0.3800495392777794,0.512666618295849,0.08333333333333333,0.852648312933398,12
2024-11-01,NGBoost,0.25787855860025505,0.33732899688939355,0.290316733612426,0.08333333333333333,0.5523858730880757,12
2024-11-01,CatBoost,0.34010444399225764,0.3515023115115028,0.3367171234934325,0.08333333333333333,0.6571221519508436,12
2024-11-01,Subcomp,1.0,1.0,1.0,0.0,2.0,0
2024-11-01,Subcomp_Multi,1.0,1.0,1.0,0.0,2.0,0
2024-11-01,Micro,1.0,1.0,1.0,0.0,2.0,0
2024-12-01,Ridge,0.28395103855802856,0.3084013789912253,0.32199607707742334,0.08333333333333333,0.5728823677510776,12
2024-12-01,Ridge_Ext,1.0,1.0,1.0,0.0,2.0,0
2024-12-01,Bayes_Ridge,1.0,1.0,1.0,0.0,2.0,0
2024-12-01,ElasticNet,1.0,1.0,1.0,0.0,2.0,0
2024-12-01,Huber,1.0,1.0,1.0,0.0,2.0,0
2024-12-01,Ridge_Shock,1.0,1.0,1.0,0.0,2.0,0
2024-12-01,EBM,0.35152784027777767,0.35152784027777767,0.35152784027777767,0.08333333333333333,0.6737616938657406,12
2024-12-01,LightGBM,0.33673238219916374,0.41920221230278304,0.47487804288951924,0.08333333333333333,0.745779721455948,12
2024-12-01,Prophet,0.3618853553558424,0.37363178730645297,0.46778209296025874,0.08333333333333333,0.740961545551992,12
2024-12-01,ETS,0.3937888768550775,0.44305553056077335,0.3889212011324686,0.08333333333333333,0.7812243974926736,12
2024-12-01,SARIMA,0.43578070918047446,0.41583348440322077,0.5746726825825026,0.08333333333333333,0.8770186281530993,12
2024-12-01,NGBoost,0.2719299198021889,0.3099583313252599,0.2975585086995842,0.08333333333333333,0.5528896419906295,12
2024-12-01,CatBoost,0.32646034695201226,0.3647027867945359,0.3403459919706388,0.08333333333333333,0.6530278984912814,12
2024-12-01,Subcomp,1.0,1.0,1.0,0.0,2.0,0
2024-12-01,Subcomp_Multi,1.0,1.0,1.0,0.0,2.0,0
2024-12-01,Micro,1.0,1.0,1.0,0.0,2.0,0
2025-01-01,Ridge,0.2883542358603381,0.31360185607494273,0.3221840123009265,0.08333333333333333,0.5801644146579379,12
2025-01-01,Ridge_Ext,1.0,1.0,1.0,0.0,2.0,0
2025-01-01,Bayes_Ridge,1.0,1.0,1.0,0.0,2.0,0
2025-01-01,ElasticNet,1.0,1.0,1.0,0.0,2.0,0
2025-01-01,Huber,1.0,1.0,1.0,0.0,2.0,0
2025-01-01,Ridge_Shock,1.0,1.0,1.0,0.0,2.0,0
2025-01-01,EBM,0.35301288247863144,0.35301288247863144,0.35301288247863144,0.08333333333333333,0.6766080247507104,12
2025-01-01,LightGBM,0.33762500806417844,0.43994944097951577,0.49822463223184005,0.08333333333333333,0.7675143369802647,12
2025-01-01,Prophet,0.36015485645045603,0.3694554193390122,0.44010615757836846,0.08333333333333333,0.7262926306233269,12
2025-01-01,ETS,0.42252310067507964,0.4637515250597309,0.39320691887006376,0.08333333333333333,0.8223044172898211,12
2025-01-01,SARIMA,0.4007286459205175,0.3938993961860167,0.5870014329604095,0.08333333333333333,0.8355409877822793,12
2025-01-01,NGBoost,0.2770102274071107,0.3188245478725378,0.2992182368155009,0.08333333333333333,0.563492573737799,12
2025-01-01,CatBoost,0.30427143577783156,0.33826412793557026,0.34231232497205727,0.08333333333333333,0.6173150574226635,12
2025-01-01,Subcomp,1.0,1.0,1.0,0.0,2.0,0
2025-01-01,Subcomp_Multi,1.0,1.0,1.0,0.0,2.0,0
2025-01-01,Micro,0.5900000000000034,1.0,1.0,0.0,1.5900000000000034,1
2025-02-01,Ridge,0.34207147587585024,0.3354641024246092,0.3726007638357345,0.08333333333333333,0.663540649412205,12
2025-02-01,Ridge_Ext,1.0,1.0,1.0,0.0,2.0,0
2025-02-01,Bayes_Ridge,1.0,1.0,1.0,0.0,2.0,0
2025-02-01,ElasticNet,1.0,1.0,1.0,0.0,2.0,0
2025-02-01,Huber,1.0,1.0,1.0,0.0,2.0,0
2025-02-01,Ridge_Shock,1.0,1.0,1.0,0.0,2.0,0
