period_type,date,item_key,product_name,component,matched,match_method,match_score,item_code,sprav_name,weight,index_used,item_mom_pp,headline_contribution_pp
weekly_chain,2026-06-01 00:00:00,56,"Мыло туалетное, 100 г",nonfood,True,exact,1.0,389,"Мыло туалетное, 100 г",0.00099,99.74,-0.2600000000000051,-0.00025740000000000506
weekly_chain,2026-06-01 00:00:00,57,"Шампунь, 250 мл",nonfood,True,exact,1.0,726,"Шампунь, 250 мл",0.0019,96.39,-3.6099999999999994,-0.006858999999999999
weekly_chain,2026-06-01 00:00:00,58,"Паста зубная, 100 г (100 мл)",nonfood,True,exact,1.0,457,"Паста зубная, 100 г (100 мл)",0.00191,99.77,-0.23000000000000398,-0.0004393000000000076
weekly_chain,2026-06-01 00:00:00,59,"Щетка зубная, шт.",nonfood,True,exact,1.0,735,"Щетка зубная, шт.",0.00174,100.04,0.04000000000000625,6.960000000001088e-05
weekly_chain,2026-06-01 00:00:00,6,"Колбаса полукопченая и варено-копченая, кг",food,True,exact,1.0,266,"Колбаса полукопченая и варено-копченая, кг",0.00298,96.54,-3.4599999999999937,-0.010310799999999981
weekly_chain,2026-06-01 00:00:00,60,"Сигареты с фильтром, пачка",nonfood,True,exact,1.0,1046,"Сигареты с фильтром, пачка",0.0086599999999999,100.0,0.0,0.0
weekly_chain,2026-06-01 00:00:00,61,"Спички, коробок",nonfood,True,exact,1.0,601,"Спички, коробок",0.00059,100.0,0.0,0.0
weekly_chain,2026-06-01 00:00:00,62,"Электропылесос напольный, шт.",nonfood,True,exact,1.0,741,"Электропылесос напольный, шт.",0.00185,99.65,-0.3499999999999943,-0.0006474999999999896
weekly_chain,2026-06-01 00:00:00,63,"Бумага туалетная, рулон",nonfood,True,exact,1.0,147,"Бумага туалетная, рулон",0.00099,99.89,-0.10999999999999943,-0.00010889999999999944
weekly_chain,2026-06-01 00:00:00,64,"Прокладки женские гигиенические, 10 шт.",nonfood,True,exact,1.0,984,"Прокладки женские гигиенические, 10 шт.",0.00108,100.16,0.1599999999999966,0.0001727999999999963
weekly_chain,2026-06-01 00:00:00,65,"Подгузники детские бумажные, 10 шт.",nonfood,True,exact,1.0,488,"Подгузники детские бумажные (памперсы), 10 шт.",0.00114,100.0,0.0,0.0
weekly_chain,2026-06-01 00:00:00,66,"Телевизор, шт.",nonfood,False,unmatched,0.46153846153846156,,,,98.04,-1.9599999999999937,
weekly_chain,2026-06-01 00:00:00,67,"Смартфон, шт.",nonfood,True,exact,1.0,585,"Смартфон, шт.",0.00625,100.0,0.0,0.0
weekly_chain,2026-06-01 00:00:00,68,"Доска обрезная, м3",nonfood,True,exact,1.0,213,"Доска обрезная, м3",0.00153,100.0,0.0,0.0
weekly_chain,2026-06-01 00:00:00,69,"Плиты древесностружечные, ориентированно-стружечные, м2",nonfood,True,exact,1.0,486,"Плиты древесностружечные, ориентированно-стружечные, м2",0.0008899999999999,99.7,-0.29999999999999716,-0.00026699999999996746
weekly_chain,2026-06-01 00:00:00,7,"Колбаса вареная, кг",food,True,exact,1.0,265,"Колбаса вареная, кг",0.00464,101.21,1.2099999999999937,0.005614399999999971
weekly_chain,2026-06-01 00:00:00,70,"Дизельное топливо, л",nonfood,True,exact,1.0,209,"Дизельное топливо, л",0.00286,101.16,1.1599999999999966,0.0033175999999999904
weekly_chain,2026-06-01 00:00:00,71,Бензин автомобильный,nonfood,False,unmatched,0.7692307692307693,,,,100.17,0.1700000000000017,
weekly_chain,2026-06-01 00:00:00,72,"Бензин автомобильный марки АИ-92, л",nonfood,True,exact,1.0,130,"Бензин автомобильный марки АИ-92, л",0.01023,100.15,0.15000000000000568,0.0015345000000000582
weekly_chain,2026-06-01 00:00:00,73,"Бензин автомобильный марки АИ-95, л",nonfood,True,exact,1.0,131,"Бензин автомобильный марки АИ-95, л",0.01543,100.15,0.15000000000000568,0.0023145000000000878
weekly_chain,2026-06-01 00:00:00,74,"Бензин автомобильный марки АИ-98 и выше, л",nonfood,True,exact,1.0,132,"Бензин автомобильный марки АИ-98, л",0.00117,100.64,0.6400000000000006,0.0007488000000000006
weekly_chain,2026-06-01 00:00:00,78,"Корвалол, 25 мл",nonfood,True,exact,1.0,302,"Корвалол, 25 мл",0.00039,100.0,0.0,0.0
weekly_chain,2026-06-01 00:00:00,79,"Левомеколь, мазь, 40 г",nonfood,True,exact,1.0,337,"Левомеколь, мазь, 40 г",0.00041,99.06,-0.9399999999999977,-0.00038539999999999907
weekly_chain,2026-06-01 00:00:00,8,"Консервы мясные для детского питания, кг",food,True,exact,1.0,285,"Консервы мясные для детского питания, кг",3e-05,100.25,0.25,7.5e-06
weekly_chain,2026-06-01 00:00:00,80,"Валидол, 60 мг, 10 таблеток",nonfood,True,exact,1.0,150,"Валидол, 60 мг, 10 таблеток",0.00032,100.32,0.3199999999999932,0.00010239999999999783
weekly_chain,2026-06-01 00:00:00,82,"Ренгалин, 20 таблеток",nonfood,True,exact,1.0,1045,"Ренгалин, 20 таблеток",0.0004,99.66,-0.3400000000000034,-0.00013600000000000138
weekly_chain,2026-06-01 00:00:00,85,"Сухие корма для домашних животных, кг",nonfood,True,exact,1.0,616,"Сухие корма для домашних животных, кг",0.00104,100.77,0.769999999999996,0.0008007999999999958
weekly_chain,2026-06-01 00:00:00,86,"Ремонт телевизоров, один вид работ",services,True,fuzzy,0.9850746268656716,543,"Ремонт  телевизоров, один вид работы",0.00037,100.0,0.0,0.0
weekly_chain,2026-06-01 00:00:00,87,"Мойка легкового автомобиля, услуга",services,True,exact,1.0,375,"Мойка легкового автомобиля, услуга",0.00529,106.92,6.920000000000002,0.03660680000000001
weekly_chain,2026-06-01 00:00:00,88,"Стрижка модельная в женском зале, стрижка",services,True,exact,1.0,608,"Стрижка модельная в женском зале, стрижка",0.00549,100.0,0.0,0.0
weekly_chain,2026-06-01 00:00:00,89,"Стрижка модельная в мужском зале, стрижка",services,True,exact,1.0,609,"Стрижка модельная в мужском зале, стрижка",0.0051,100.0,0.0,0.0
weekly_chain,2026-06-01 00:00:00,9,"Рыба мороженая неразделанная, кг",food,True,exact,1.0,558,"Рыба мороженая неразделанная, кг",0.00303,101.77,1.769999999999996,0.005363099999999988
weekly_chain,2026-06-01 00:00:00,90,"Проезд в городском автобусе, поездка",services,True,exact,1.0,525,"Проезд в городском автобусе,поездка",0.00185,100.0,0.0,0.0
weekly_chain,2026-06-01 00:00:00,91,"Проезд в троллейбусе, поездка",services,True,exact,1.0,533,"Проезд в троллейбусе, поездка",0.0001,100.0,0.0,0.0
weekly_chain,2026-06-01 00:00:00,93,"Плата за жилье в домах государственного и муниципального жилищных фондов, м2 общей площади",services,True,exact,1.0,400,"Наём жилых помещений в государственном и муниципальном жилищных фондах, м2 общей площади",0.00012,100.0,0.0,0.0
weekly_chain,2026-06-01 00:00:00,94,"Отопление, Гкал",services,True,exact,1.0,448,"Отопление, Гкал",0.00924,100.0,0.0,0.0
weekly_chain,2026-06-01 00:00:00,95,"Водоснабжение холодное, м3",services,True,exact,1.0,174,"Водоснабжение холодное, м3",0.0053,100.0,0.0,0.0
weekly_chain,2026-06-01 00:00:00,96,"Водоотведение, м3",services,True,exact,1.0,172,"Водоотведение, м3",0.00325,100.0,0.0,0.0
weekly_chain,2026-06-01 00:00:00,97,"Водоснабжение горячее, м3",services,True,exact,1.0,173,"Водоснабжение горячее, м3",0.00592,100.0,0.0,0.0
weekly_chain,2026-06-01 00:00:00,98,Услуги по снабжению электроэнергией,services,True,exact,1.0,744+745+746+747,"Электроэнергия в квартирах без электроплит сверх минимального объема потребления, в расчете за 100 кВт.ч + Электроэнергия в квартирах без электроплит за минимальный объем потребления, в расчете за 100 кВт.ч + Электроэнергия в квартирах с электроплитами за минимальный объем потребления, в расчете за 100 кВт.ч + Электроэнергия в квартирах с электроплитами сверх минимального объема потребления, в расчете за 100 кВт.ч",0.01142,100.0,0.0,0.0
weekly_chain,2026-06-01 00:00:00,99,"Проживание в гостинице 1* или в мотеле, сутки с человека",services,True,exact,1.0,1004,"Проживание в гостинице 1* или в мотеле, сутки с человека",5e-05,100.0,0.0,0.0
weekly_chain,2026-06-08 00:00:00,1,"Говядина (кроме бескостного мяса), кг",food,True,exact,1.0,195,"Говядина (кроме бескостного мяса), кг",0.01634,100.11,0.10999999999999943,0.0017973999999999907
weekly_chain,2026-06-08 00:00:00,10,"Масло сливочное, кг",food,True,exact,1.0,360,"Масло сливочное, кг",0.00872,96.56,-3.4399999999999977,-0.02999679999999998
weekly_chain,2026-06-08 00:00:00,100,"Проживание в гостинице 2*, сутки с человека",services,True,exact,1.0,1005,"Проживание в гостинице 2*, сутки с человека",4e-05,100.0,0.0,0.0
weekly_chain,2026-06-08 00:00:00,101,"Проживание в гостинице 3*, сутки с человека",services,True,exact,1.0,1006,"Проживание в гостинице 3*, сутки с человека",0.00075,100.0,0.0,0.0
weekly_chain,2026-06-08 00:00:00,102,"Проживание в гостинице 4*-5*, сутки с человека",services,True,exact,1.0,1007,"Проживание в гостинице 4*-5*, сутки с человека",0.00067,100.0,0.0,0.0
weekly_chain,2026-06-08 00:00:00,103,"Проживание в хостеле, сутки с человека",services,True,exact,1.0,1008,"Проживание в хостеле, сутки с человека",0.00061,100.0,0.0,0.0
weekly_chain,2026-06-08 00:00:00,104,"Санаторий, день",services,True,exact,1.0,565,"Санаторий, день",0.001,100.0,0.0,0.0
weekly_chain,2026-06-08 00:00:00,105,"Легковой автомобиль иностранной марки новый, шт.",nonfood,True,exact,1.0,339,"Легковой автомобиль иностранной марки новый, шт.",0.00959,100.0,0.0,0.0
weekly_chain,2026-06-08 00:00:00,106,"Легковой автомобиль отечественный новый, шт.",nonfood,True,exact,1.0,340,"Легковой автомобиль отечественный новый, шт.",0.00753,100.0,0.0,0.0
